"times","open","high","low","close","volume","symbol","market"
2019-05-30,42.44,42.6794,42.181,42.215,1800,"CSB","NASDAQ"
2019-05-31,41.69,41.84,41.592,41.718,12000,"CSB","NASDAQ"
2019-06-03,41.77,42.13,41.77,41.945,14600,"CSB","NASDAQ"
2019-06-04,42.49,42.94,42.49,42.834,3300,"CSB","NASDAQ"
2019-06-05,43.19,43.19,42.6079,42.86,2600,"CSB","NASDAQ"
2019-06-06,43.12,43.12,42.58,42.83,10200,"CSB","NASDAQ"
2019-06-07,43.1,43.318,43.047,43.209,5800,"CSB","NASDAQ"
2019-06-10,43.35,43.519,43.115,43.115,4700,"CSB","NASDAQ"
2019-06-11,43.66,43.66,43.18,43.38,10000,"CSB","NASDAQ"
2019-06-12,43.25,43.418,43.157,43.341,6800,"CSB","NASDAQ"
2019-06-13,43.29,43.56,43.2876,43.332,6100,"CSB","NASDAQ"
2019-06-14,44,44,43.22,43.24,4700,"CSB","NASDAQ"
2019-06-17,43.26,43.26,43.121,43.121,2200,"CSB","NASDAQ"
2019-06-18,43.23,43.82,43.23,43.505,5500,"CSB","NASDAQ"
2019-06-19,43.6,43.6,43.355,43.56,6900,"CSB","NASDAQ"
2019-06-20,43.667,43.73,43.55,43.693,3400,"CSB","NASDAQ"
2019-06-21,43.46,43.6282,43.395,43.395,5500,"CSB","NASDAQ"
2019-06-24,43.51,43.51,43,43,7600,"CSB","NASDAQ"
2019-06-25,43.09,43.18,42.906,43.02,19000,"CSB","NASDAQ"
2019-06-26,43.16,43.26,43.067,43.09,6000,"CSB","NASDAQ"
2019-06-27,43.328,43.78,43.328,43.78,3800,"CSB","NASDAQ"
2019-06-28,43.82,44.4,43.788,44.3,5900,"CSB","NASDAQ"
2019-07-01,44.85,44.85,44.062,44.062,4100,"CSB","NASDAQ"
2019-07-02,44.0708,44.24,43.89,43.949,4900,"CSB","NASDAQ"
2019-07-03,44.1549,44.33,44.11,44.33,1900,"CSB","NASDAQ"
2019-07-05,44.263,44.401,44.0613,44.401,2500,"CSB","NASDAQ"
2019-07-08,44.37,44.39,44.137,44.146,9700,"CSB","NASDAQ"
2019-07-09,44.025,44.025,43.81,43.913,2500,"CSB","NASDAQ"
2019-07-10,44.26,44.26,43.9607,44.04,4700,"CSB","NASDAQ"
2019-07-11,43.99,44.09,43.7,43.88,6500,"CSB","NASDAQ"
2019-07-12,44.159,44.52,44.155,44.52,14700,"CSB","NASDAQ"
2019-07-15,44.54,44.54,44.0028,44.149,5000,"CSB","NASDAQ"
2019-07-16,44.28,44.523,44.28,44.45,2600,"CSB","NASDAQ"
2019-07-17,45,45,43.783,43.95,4100,"CSB","NASDAQ"
