"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.28,9.99,9.28,9.54,12100,"CSBR","NASDAQ"
2019-05-31,9.125,9.47,9.06,9.36,22800,"CSBR","NASDAQ"
2019-06-03,9.24,9.82,9.24,9.8,29400,"CSBR","NASDAQ"
2019-06-04,9.84,10.44,9.73,10.12,60700,"CSBR","NASDAQ"
2019-06-05,10.25,10.44,9.51,9.54,36700,"CSBR","NASDAQ"
2019-06-06,9.55,9.55,9.146,9.28,25600,"CSBR","NASDAQ"
2019-06-07,9.3,9.44,9.15,9.33,16700,"CSBR","NASDAQ"
2019-06-10,9.2432,9.47,9.061,9.21,16200,"CSBR","NASDAQ"
2019-06-11,9.16,9.16,8.92,9.12,4600,"CSBR","NASDAQ"
2019-06-12,9.02,9.279,8.33,9.07,44200,"CSBR","NASDAQ"
2019-06-13,8.99,8.99,8.56,8.7,26700,"CSBR","NASDAQ"
2019-06-14,8.71,9.106,8.61,8.66,15200,"CSBR","NASDAQ"
2019-06-17,8.75,8.98,8.573,8.79,6600,"CSBR","NASDAQ"
2019-06-18,8.88,8.8806,8.33,8.33,17400,"CSBR","NASDAQ"
2019-06-19,8.34,8.632,8.34,8.38,12700,"CSBR","NASDAQ"
2019-06-20,8.49,8.634,8.2494,8.25,24900,"CSBR","NASDAQ"
2019-06-21,8.2502,8.51,8.02,8.51,37300,"CSBR","NASDAQ"
2019-06-24,8.35,8.64,8.046,8.07,30000,"CSBR","NASDAQ"
2019-06-25,8.1,8.14,7.9802,8.07,11300,"CSBR","NASDAQ"
2019-06-26,7.982,8.08,7.777,7.81,36400,"CSBR","NASDAQ"
2019-06-27,7.81,7.98,7.78,7.91,14100,"CSBR","NASDAQ"
2019-06-28,7.96,8,7.825,7.83,12700,"CSBR","NASDAQ"
2019-07-01,7.95,7.981,7.79,7.92,26400,"CSBR","NASDAQ"
2019-07-02,7.865,8,7.62,7.72,26800,"CSBR","NASDAQ"
2019-07-03,7.62,7.78,7.6203,7.78,11900,"CSBR","NASDAQ"
2019-07-05,7.51,7.98,7.51,7.76,27500,"CSBR","NASDAQ"
2019-07-08,7.66,7.94,7.64,7.78,10100,"CSBR","NASDAQ"
2019-07-09,7.82,7.99,7.72,7.96,14000,"CSBR","NASDAQ"
2019-07-10,8.22,8.2497,7.87,8.19,27700,"CSBR","NASDAQ"
2019-07-11,8.2,8.25,8.07,8.2,9600,"CSBR","NASDAQ"
2019-07-12,8.17,8.24,7.96,7.96,7700,"CSBR","NASDAQ"
2019-07-15,8,9.2,7.9999,8.99,69700,"CSBR","NASDAQ"
2019-07-16,8.9897,8.99,7.63,7.65,126400,"CSBR","NASDAQ"
2019-07-17,7.65,7.94,7.65,7.87,22800,"CSBR","NASDAQ"
2019-07-18,7.74,7.85,7.74,7.75,1400,"CSBR","NASDAQ"
2019-07-19,7.77,8.1,7.5,7.68,23700,"CSBR","NASDAQ"
2019-07-22,7.59,7.83,7.45,7.48,14500,"CSBR","NASDAQ"
2019-07-23,7.62,7.63,7.21,7.21,31600,"CSBR","NASDAQ"
2019-07-24,7,7.22,6.91,7.1,67600,"CSBR","NASDAQ"
2019-07-25,7,7.1506,6.84,6.9,24600,"CSBR","NASDAQ"
2019-07-26,6.85,7.06,6.85,6.91,21300,"CSBR","NASDAQ"
2019-07-29,7.09,7.09,6.63,6.63,23500,"CSBR","NASDAQ"
2019-07-30,6.65,6.8,6.4,6.62,27900,"CSBR","NASDAQ"
2019-07-31,6.58,6.74,6.47,6.47,27000,"CSBR","NASDAQ"
2019-08-01,6.42,6.93,6.42,6.61,25600,"CSBR","NASDAQ"
2019-08-02,6.16,6.55,5.94,6.11,60600,"CSBR","NASDAQ"
2019-08-05,5.93,6,5.59,5.68,44500,"CSBR","NASDAQ"
