"times","open","high","low","close","volume","symbol","market"
2019-05-30,22.76,23.03,22.1701,22.29,384300,"CSFL","NASDAQ"
2019-05-31,21.94,22.64,21.79,21.89,496000,"CSFL","NASDAQ"
2019-06-03,21.81,22.16,21.57,21.9,549300,"CSFL","NASDAQ"
2019-06-04,22.25,22.7515,22.12,22.74,318700,"CSFL","NASDAQ"
2019-06-05,22.67,22.7794,22.33,22.61,250600,"CSFL","NASDAQ"
2019-06-06,22.53,22.75,22.31,22.68,645200,"CSFL","NASDAQ"
2019-06-07,22.63,22.66,22.285,22.35,348100,"CSFL","NASDAQ"
2019-06-10,22.45,22.87,21.94,22.55,402300,"CSFL","NASDAQ"
2019-06-11,22.74,22.74,22.26,22.44,610500,"CSFL","NASDAQ"
2019-06-12,22.32,22.67,22.15,22.61,649300,"CSFL","NASDAQ"
2019-06-13,22.639,22.87,22.5,22.79,642100,"CSFL","NASDAQ"
2019-06-14,22.75,22.86,22.42,22.68,372200,"CSFL","NASDAQ"
2019-06-17,22.63,22.79,22.43,22.48,455300,"CSFL","NASDAQ"
2019-06-18,22.43,23.02,22.4,22.85,554000,"CSFL","NASDAQ"
2019-06-19,22.84,23.15,22.69,22.76,499400,"CSFL","NASDAQ"
2019-06-20,22.83,22.87,22.28,22.85,474400,"CSFL","NASDAQ"
2019-06-21,22.71,23,22.59,22.6,747100,"CSFL","NASDAQ"
2019-06-24,22.5402,22.72,22.13,22.14,396000,"CSFL","NASDAQ"
2019-06-25,22.19,22.28,21.78,22.18,450800,"CSFL","NASDAQ"
2019-06-26,22.36,22.57,22.15,22.36,370900,"CSFL","NASDAQ"
2019-06-27,22.24,22.531,21.89,22.52,820900,"CSFL","NASDAQ"
2019-06-28,22.6712,23.16,22.67,23.03,1696400,"CSFL","NASDAQ"
2019-07-01,23.29,23.39,22.82,23.03,430500,"CSFL","NASDAQ"
2019-07-02,23.03,23.08,22.8,23.02,553600,"CSFL","NASDAQ"
2019-07-03,23.05,23.15,22.89,23.04,233700,"CSFL","NASDAQ"
2019-07-05,23.2,23.55,23.2,23.51,448300,"CSFL","NASDAQ"
2019-07-08,23.44,23.44,22.93,23.11,495300,"CSFL","NASDAQ"
2019-07-09,23.05,23.26,22.93,23.23,306500,"CSFL","NASDAQ"
2019-07-10,23.27,23.27,22.8085,23.08,551300,"CSFL","NASDAQ"
2019-07-11,23.05,23.17,22.9,23.07,545500,"CSFL","NASDAQ"
2019-07-12,23.11,23.46,23.04,23.37,366100,"CSFL","NASDAQ"
2019-07-15,23.38,23.38,22.68,22.8,598100,"CSFL","NASDAQ"
2019-07-16,22.81,23.1,22.7,23.05,339400,"CSFL","NASDAQ"
2019-07-17,22.91,23.14,22.8,22.92,516000,"CSFL","NASDAQ"
2019-07-18,22.9,23.31,22.87,23.14,275800,"CSFL","NASDAQ"
2019-07-19,23.03,23.45,23.03,23.32,360600,"CSFL","NASDAQ"
2019-07-22,23.27,23.32,22.95,23.13,406900,"CSFL","NASDAQ"
2019-07-23,23.22,23.53,23.18,23.52,501600,"CSFL","NASDAQ"
2019-07-24,23.49,24.16,23.41,24.03,929300,"CSFL","NASDAQ"
2019-07-25,24.03,24.28,23.73,23.84,601100,"CSFL","NASDAQ"
2019-07-26,23.89,24.33,23.65,24.27,638800,"CSFL","NASDAQ"
2019-07-29,24.24,24.28,23.99,24.06,583400,"CSFL","NASDAQ"
2019-07-30,23.88,24.34,23.88,24.32,469000,"CSFL","NASDAQ"
2019-07-31,24.29,24.57,24.1,24.32,784000,"CSFL","NASDAQ"
2019-08-01,24.21,24.36,23.07,23.17,797500,"CSFL","NASDAQ"
2019-08-02,23,23.08,22.46,22.87,658400,"CSFL","NASDAQ"
2019-08-05,22.45,22.45,21.77,22.17,773500,"CSFL","NASDAQ"
2019-08-06,22.29,22.91,21.72,22.36,444100,"CSFL","NASDAQ"
2019-08-07,21.95,22.57,21.77,22.44,644600,"CSFL","NASDAQ"
