"times","open","high","low","close","volume","symbol","market"
2019-05-30,512.47,516.46,510.0277,513.19,173300,"CSGP","NASDAQ"
2019-05-31,508.22,513.883,505.53,509.64,271300,"CSGP","NASDAQ"
2019-06-03,511.8667,514.615,496.11,499.62,225600,"CSGP","NASDAQ"
2019-06-04,504.44,507.67,498.25,506,442000,"CSGP","NASDAQ"
2019-06-05,508.17,531.03,508.17,530.13,494200,"CSGP","NASDAQ"
2019-06-06,531.59,540.85,528.96,539.96,346000,"CSGP","NASDAQ"
2019-06-07,542.0825,546.55,538.83,539.88,255600,"CSGP","NASDAQ"
2019-06-10,543.68,554.9203,543.68,550.5,318100,"CSGP","NASDAQ"
2019-06-11,554.66,555.1392,540.008,544.78,271100,"CSGP","NASDAQ"
2019-06-12,542.5,548.98,539.66,547.89,87100,"CSGP","NASDAQ"
2019-06-13,548.37,550.66,540.043,549.78,185100,"CSGP","NASDAQ"
2019-06-14,549.42,550.66,545.8334,549.66,149800,"CSGP","NASDAQ"
2019-06-17,549.87,557.09,549.68,554.61,161300,"CSGP","NASDAQ"
2019-06-18,559.24,560.1153,551.955,555.96,220100,"CSGP","NASDAQ"
2019-06-19,554.8,557.3963,549.57,556.67,261800,"CSGP","NASDAQ"
2019-06-20,562.17,562.65,550.93,555.49,221900,"CSGP","NASDAQ"
2019-06-21,552.41,561.97,550.06,560.54,396800,"CSGP","NASDAQ"
2019-06-24,559.94,560.08,552.78,553.56,157300,"CSGP","NASDAQ"
2019-06-25,552.92,556.035,536.98,538.44,250600,"CSGP","NASDAQ"
2019-06-26,540.14,546.4318,530.176,534.72,272500,"CSGP","NASDAQ"
2019-06-27,534.72,545.37,531.67,542.93,179400,"CSGP","NASDAQ"
2019-06-28,542.98,555.5408,541.73,554.06,321900,"CSGP","NASDAQ"
2019-07-01,560.24,565.96,557.24,559.35,201900,"CSGP","NASDAQ"
2019-07-02,559.35,566.03,558.5689,560.36,249800,"CSGP","NASDAQ"
2019-07-03,562.25,566.22,559.406,565.5,216700,"CSGP","NASDAQ"
2019-07-05,563.95,566.03,555.66,564.18,293400,"CSGP","NASDAQ"
2019-07-08,562.96,568.15,560.23,562.5,130000,"CSGP","NASDAQ"
2019-07-09,560.46,568.25,557.37,567.02,552800,"CSGP","NASDAQ"
2019-07-10,572.59,582,572.59,580.81,248800,"CSGP","NASDAQ"
2019-07-11,583.5,588.93,580.55,588.01,239700,"CSGP","NASDAQ"
2019-07-12,589.41,592.34,583.13,587.14,165200,"CSGP","NASDAQ"
2019-07-15,587.89,590.52,583.45,585,122000,"CSGP","NASDAQ"
2019-07-16,586.24,590.49,579.67,581.92,260800,"CSGP","NASDAQ"
2019-07-17,583.99,587.7685,580.87,583.53,159900,"CSGP","NASDAQ"
2019-07-18,581.42,588.44,580.06,587.95,308500,"CSGP","NASDAQ"
2019-07-19,590.11,590.57,582.87,582.95,167500,"CSGP","NASDAQ"
2019-07-22,585.08,590.36,582.82,583.82,125600,"CSGP","NASDAQ"
2019-07-23,585.85,586.26,575.77,580.56,350800,"CSGP","NASDAQ"
2019-07-24,600.01,632,591.82,627.95,801400,"CSGP","NASDAQ"
2019-07-25,629.1,634.02,618.8,628.99,480800,"CSGP","NASDAQ"
2019-07-26,631.13,636.5219,625.22,634.26,229800,"CSGP","NASDAQ"
2019-07-29,635.61,638.17,628.57,630.42,222000,"CSGP","NASDAQ"
2019-07-30,626.28,628.83,615.96,618.73,268500,"CSGP","NASDAQ"
2019-07-31,620.18,620.65,610,615.4,272700,"CSGP","NASDAQ"
2019-08-01,617.54,621.92,600.94,606.21,261700,"CSGP","NASDAQ"
2019-08-02,605.5,605.5,594,598.76,197100,"CSGP","NASDAQ"
2019-08-05,588.64,596.02,579.58,585.2,179800,"CSGP","NASDAQ"
2019-08-06,589.22,598.72,589.2003,594.74,211500,"CSGP","NASDAQ"
2019-08-07,588.99,607.67,587.241,606.85,221200,"CSGP","NASDAQ"
2019-08-08,610.51,629.92,608.86,628.92,253300,"CSGP","NASDAQ"
2019-08-09,626.94,637.4,623.75,633.74,289600,"CSGP","NASDAQ"
2019-08-12,631.24,637.16,626.81,629.59,320000,"CSGP","NASDAQ"
2019-08-13,628.78,639.41,623.73,626.5,240600,"CSGP","NASDAQ"
2019-08-14,617.11,619.98,596.4566,600.03,305800,"CSGP","NASDAQ"
2019-08-15,603.9129,613.65,598.3,611.64,118400,"CSGP","NASDAQ"
2019-08-16,609.6617,620.24,609.36,618.85,150300,"CSGP","NASDAQ"
2019-08-19,617.65,629.82,617.48,617.82,297900,"CSGP","NASDAQ"
2019-08-20,618.15,620.54,611.71,614.47,200900,"CSGP","NASDAQ"
2019-08-21,618.67,626.91,616.67,621.34,116600,"CSGP","NASDAQ"
2019-08-22,622.82,626.7,611.97,616.03,113200,"CSGP","NASDAQ"
2019-08-23,615.59,622.71,605.01,607.08,215200,"CSGP","NASDAQ"
2019-08-26,615.22,617.91,607.22,617.72,323500,"CSGP","NASDAQ"
2019-08-27,619.94,621.4,608.2,612.61,245400,"CSGP","NASDAQ"
2019-08-28,607.67,615.25,605,612.42,195700,"CSGP","NASDAQ"
2019-08-29,620.65,621.32,613.74,614.1,190700,"CSGP","NASDAQ"
2019-08-30,616.15,616.36,603.66,614.87,262200,"CSGP","NASDAQ"
2019-09-03,610.55,619.41,607.22,611.85,180600,"CSGP","NASDAQ"
2019-09-04,617.8,617.8,608.79,614.15,189200,"CSGP","NASDAQ"
2019-09-05,616.6,622.42,607.26,613.19,259200,"CSGP","NASDAQ"
2019-09-06,616.38,624.97,612.81,616.01,239600,"CSGP","NASDAQ"
2019-09-09,617.95,621.51,577.12,578.7,284400,"CSGP","NASDAQ"
2019-09-10,574.51,580.09,564.44,579.73,391700,"CSGP","NASDAQ"
2019-09-11,582.37,582.7,561.23,571.25,257600,"CSGP","NASDAQ"
2019-09-12,575.25,587.33,572.71,583.67,166100,"CSGP","NASDAQ"
2019-09-13,584.05,585.76,569.44,570.11,535600,"CSGP","NASDAQ"
2019-09-16,567.44,580.3,565.61,579.56,282700,"CSGP","NASDAQ"
2019-09-17,581,598.41,580,597.73,316900,"CSGP","NASDAQ"
2019-09-18,596.39,596.39,582.55,591.09,381900,"CSGP","NASDAQ"
2019-09-19,590.96,601.59,589.01,598.61,154300,"CSGP","NASDAQ"
2019-09-20,594.75,600.73,591.06,595,255100,"CSGP","NASDAQ"
2019-09-23,596.21,598.52,588.66,595,221700,"CSGP","NASDAQ"
2019-09-24,594.95,599.13,583.29,586.77,513000,"CSGP","NASDAQ"
2019-09-25,590.67,599.75,582.04,595.06,307000,"CSGP","NASDAQ"
2019-09-26,592.54,598.2,582.42,594.58,267700,"CSGP","NASDAQ"
2019-09-27,595.1,598,572.21,576.28,217300,"CSGP","NASDAQ"
2019-09-30,577.83,597.53,576.25,593.2,307200,"CSGP","NASDAQ"
2019-10-01,590.4,607.29,589.61,597.15,217400,"CSGP","NASDAQ"
2019-10-02,593.88,593.92,581.94,587.15,277200,"CSGP","NASDAQ"
2019-10-03,586.33,593.74,578.52,591.38,166900,"CSGP","NASDAQ"
2019-10-04,594.34,596.85,584.76,586.24,409700,"CSGP","NASDAQ"
2019-10-07,582.14,600.85,577.48,592.2,203300,"CSGP","NASDAQ"
2019-10-08,595.1,595.1,575.73,577.89,233700,"CSGP","NASDAQ"
2019-10-09,581.2,601.93,576.64,600.32,227400,"CSGP","NASDAQ"
2019-10-10,598.31,605.31,594.79,601.88,340100,"CSGP","NASDAQ"
2019-10-11,608.65,623.54,607.71,614.12,381800,"CSGP","NASDAQ"
2019-10-14,614,617.9,598.41,600.74,213300,"CSGP","NASDAQ"
2019-10-15,603.82,604.01,596.43,600.14,222800,"CSGP","NASDAQ"
2019-10-16,599.47,599.47,578.66,590,317400,"CSGP","NASDAQ"
2019-10-17,595.63,601.96,585.95,586.4,141800,"CSGP","NASDAQ"
2019-10-18,587.31,591.3,579.84,588.12,204244,"CSGP","NASDAQ"
