"times","open","high","low","close","volume","symbol","market"
2019-05-30,45.32,45.33,44.48,45.1,166800,"CSGS","NASDAQ"
2019-05-31,44.92,44.92,44.25,44.85,145000,"CSGS","NASDAQ"
2019-06-03,44.88,45.22,43.96,44.14,178400,"CSGS","NASDAQ"
2019-06-04,44.35,45.77,44.2106,45.75,116500,"CSGS","NASDAQ"
2019-06-05,45.95,46.06,45.232,45.35,129700,"CSGS","NASDAQ"
2019-06-06,45.41,45.76,45,45.24,197500,"CSGS","NASDAQ"
2019-06-07,45.53,46.64,45.53,46.41,241300,"CSGS","NASDAQ"
2019-06-10,46.53,47.39,46.53,46.78,78800,"CSGS","NASDAQ"
2019-06-11,47,47.5,46.25,46.93,252500,"CSGS","NASDAQ"
2019-06-12,46.96,47.49,46.42,47.4,112600,"CSGS","NASDAQ"
2019-06-13,47.5,47.622,47.0913,47.3,83900,"CSGS","NASDAQ"
2019-06-14,47.31,47.73,47.005,47.21,112000,"CSGS","NASDAQ"
2019-06-17,47.33,47.6,46.69,47.14,137700,"CSGS","NASDAQ"
2019-06-18,47.45,48.21,47.06,48,165600,"CSGS","NASDAQ"
2019-06-19,48.09,48.425,47.66,48.36,210600,"CSGS","NASDAQ"
2019-06-20,48.84,48.915,48.42,48.77,234100,"CSGS","NASDAQ"
2019-06-21,48.69,49.2,48.26,48.49,287600,"CSGS","NASDAQ"
2019-06-24,48.5,48.66,48.05,48.1,192000,"CSGS","NASDAQ"
2019-06-25,48.1863,48.4,47.85,48.06,243200,"CSGS","NASDAQ"
2019-06-26,48.29,48.8588,48.23,48.29,161200,"CSGS","NASDAQ"
2019-06-27,48.58,48.9149,48.46,48.58,202400,"CSGS","NASDAQ"
2019-06-28,48.55,48.93,47.74,48.83,518700,"CSGS","NASDAQ"
2019-07-01,49.4,49.84,48.67,48.82,236400,"CSGS","NASDAQ"
2019-07-02,48.8,49.2,48.35,48.73,192300,"CSGS","NASDAQ"
2019-07-03,48.95,49.41,48.79,49.3,72500,"CSGS","NASDAQ"
2019-07-05,49.1215,49.86,48.69,49.22,136100,"CSGS","NASDAQ"
2019-07-08,49.19,49.58,48.45,49.13,106200,"CSGS","NASDAQ"
2019-07-09,49.01,49.24,48.72,49.04,168700,"CSGS","NASDAQ"
2019-07-10,49.15,49.71,49.02,49.41,193100,"CSGS","NASDAQ"
2019-07-11,49.58,49.78,48.28,48.4,165600,"CSGS","NASDAQ"
2019-07-12,48.63,48.87,47.88,48.82,138200,"CSGS","NASDAQ"
2019-07-15,49.01,49.08,48.47,48.99,159100,"CSGS","NASDAQ"
2019-07-16,49.06,49.43,48.89,48.92,191600,"CSGS","NASDAQ"
2019-07-17,48.97,48.99,48.27,48.39,189000,"CSGS","NASDAQ"
2019-07-18,48.4245,49.07,48.18,49.06,293000,"CSGS","NASDAQ"
2019-07-19,49.03,49.45,48.51,48.6,140700,"CSGS","NASDAQ"
2019-07-22,48.79,49.03,48.51,48.77,259800,"CSGS","NASDAQ"
2019-07-23,49.0334,49.07,47.67,49.06,106400,"CSGS","NASDAQ"
2019-07-24,49.07,50.6413,48.45,50.57,318300,"CSGS","NASDAQ"
2019-07-25,50.55,51.31,50.17,51.27,244100,"CSGS","NASDAQ"
2019-07-26,51.46,52.12,51.24,51.84,182400,"CSGS","NASDAQ"
2019-07-29,52.03,52.72,51.64,52.25,329100,"CSGS","NASDAQ"
2019-07-30,51.98,52.03,51.61,51.69,145500,"CSGS","NASDAQ"
2019-07-31,51.74,52.61,51.09,51.24,242500,"CSGS","NASDAQ"
2019-08-01,51.35,52.17,51.03,51.16,182000,"CSGS","NASDAQ"
2019-08-02,51.07,51.31,49.88,50.28,127000,"CSGS","NASDAQ"
2019-08-05,49.45,49.48,47.53,47.96,230900,"CSGS","NASDAQ"
2019-08-06,48.32,48.88,47.85,48.82,178400,"CSGS","NASDAQ"
2019-08-07,48.5,48.93,42.561,48.46,187200,"CSGS","NASDAQ"
2019-08-08,56.7,57.2,47.69,50.97,522300,"CSGS","NASDAQ"
2019-08-09,50.7907,50.85,49.73,50.47,264000,"CSGS","NASDAQ"
2019-08-12,50.25,50.63,49.51,50.14,122900,"CSGS","NASDAQ"
2019-08-13,50.09,50.75,49.85,50.49,227700,"CSGS","NASDAQ"
2019-08-14,49.83,50.59,49.25,50.16,358600,"CSGS","NASDAQ"
2019-08-15,50.41,51.74,50.0115,51.74,267300,"CSGS","NASDAQ"
2019-08-16,52,52.8123,51.88,52.7,182500,"CSGS","NASDAQ"
2019-08-19,53.33,53.73,52.42,52.44,163400,"CSGS","NASDAQ"
2019-08-20,52.54,53.34,52.33,53.06,182100,"CSGS","NASDAQ"
2019-08-21,53.53,53.85,53.17,53.58,148600,"CSGS","NASDAQ"
2019-08-22,53.64,54.78,53.04,53.05,166100,"CSGS","NASDAQ"
2019-08-23,53.14,53.84,51.64,51.79,240300,"CSGS","NASDAQ"
2019-08-26,50.56,52.2,48.03,52.06,162600,"CSGS","NASDAQ"
2019-08-27,52.35,52.55,51.58,51.98,155100,"CSGS","NASDAQ"
2019-08-28,52.03,52.86,51.45,52.34,203300,"CSGS","NASDAQ"
2019-08-29,52.89,53.52,52.25,53.07,115100,"CSGS","NASDAQ"
2019-08-30,53.68,53.95,53.49,53.88,231300,"CSGS","NASDAQ"
2019-09-03,53.5,54.15,52.79,53.09,258200,"CSGS","NASDAQ"
2019-09-04,53.58,54.03,53.12,53.15,616200,"CSGS","NASDAQ"
2019-09-05,53.67,54.7,53.39,54.26,199100,"CSGS","NASDAQ"
2019-09-06,54.45,54.81,53.64,53.68,164200,"CSGS","NASDAQ"
2019-09-09,53.72,54.06,52.5,53.11,235100,"CSGS","NASDAQ"
2019-09-10,52.93,53.08,51.88,52.75,160400,"CSGS","NASDAQ"
2019-09-11,52.68,53.92,52.65,53.78,171700,"CSGS","NASDAQ"
2019-09-12,53.85,54.18,53.35,53.41,158600,"CSGS","NASDAQ"
2019-09-13,53.59,53.73,52.45,52.89,124300,"CSGS","NASDAQ"
2019-09-16,52.57,52.74,52.01,52.1,201300,"CSGS","NASDAQ"
2019-09-17,52.24,53.23,52.04,53.1,374600,"CSGS","NASDAQ"
2019-09-18,53.01,53.75,52.53,53.55,159700,"CSGS","NASDAQ"
2019-09-19,53.67,54.22,53.41,53.54,126600,"CSGS","NASDAQ"
2019-09-20,53.5,53.99,52.92,52.93,463800,"CSGS","NASDAQ"
2019-09-23,52.85,53.35,51.78,51.82,163500,"CSGS","NASDAQ"
2019-09-24,51.94,52.28,51.42,51.51,187200,"CSGS","NASDAQ"
2019-09-25,51.53,52,50.83,51.78,198800,"CSGS","NASDAQ"
2019-09-26,51.77,52.24,51.25,51.8,206100,"CSGS","NASDAQ"
2019-09-27,52,52.04,50.94,51.32,259900,"CSGS","NASDAQ"
2019-09-30,51.42,52,51.18,51.68,265400,"CSGS","NASDAQ"
2019-10-01,51.89,52,50.91,50.92,186600,"CSGS","NASDAQ"
2019-10-02,50.62,53.6,49.82,51.02,380400,"CSGS","NASDAQ"
2019-10-03,50.93,51.41,50.42,51.19,176000,"CSGS","NASDAQ"
2019-10-04,51.41,52.46,51.41,51.99,417300,"CSGS","NASDAQ"
2019-10-07,51.91,51.93,51.55,51.7,504000,"CSGS","NASDAQ"
2019-10-08,51.3,51.3,50.03,50.11,288100,"CSGS","NASDAQ"
2019-10-09,50.57,51.23,50.18,51.09,292900,"CSGS","NASDAQ"
2019-10-10,51.08,51.98,50.91,51.32,129700,"CSGS","NASDAQ"
2019-10-11,51.91,52.72,51.79,52.12,167300,"CSGS","NASDAQ"
2019-10-14,51.96,52.31,51.24,51.51,76900,"CSGS","NASDAQ"
2019-10-15,51.66,51.81,49.39,51.42,168000,"CSGS","NASDAQ"
2019-10-16,51.33,51.48,50.8,51.1,165600,"CSGS","NASDAQ"
2019-10-17,51.4,51.47,50.84,51.24,188900,"CSGS","NASDAQ"
2019-10-18,51.1,51.21,49.995,50.57,129293,"CSGS","NASDAQ"
