"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.42,20.09,18.42,19.41,1829400,"CSIQ","NASDAQ"
2019-05-31,19,19.41,18.61,19.09,913500,"CSIQ","NASDAQ"
2019-06-03,18.37,20,18.35,19.86,884500,"CSIQ","NASDAQ"
2019-06-04,19.4498,20.71,19.4,20.61,1219500,"CSIQ","NASDAQ"
2019-06-05,20.34,20.88,20.25,20.86,962500,"CSIQ","NASDAQ"
2019-06-06,20.62,21.415,20.5,21.21,794500,"CSIQ","NASDAQ"
2019-06-07,21.23,21.53,21.091,21.32,800400,"CSIQ","NASDAQ"
2019-06-10,21.29,21.75,21.23,21.31,538100,"CSIQ","NASDAQ"
2019-06-11,21.33,21.466,20.5896,21.13,604500,"CSIQ","NASDAQ"
2019-06-12,20.74,21.48,20.561,21.21,1152100,"CSIQ","NASDAQ"
2019-06-13,21.34,21.82,21.25,21.74,792700,"CSIQ","NASDAQ"
2019-06-14,21.53,21.85,21.25,21.61,482100,"CSIQ","NASDAQ"
2019-06-17,21.74,21.78,21.06,21.29,658000,"CSIQ","NASDAQ"
2019-06-18,21.61,22.2,21.5,21.93,904700,"CSIQ","NASDAQ"
2019-06-19,21.9304,22.52,21.855,22.36,887500,"CSIQ","NASDAQ"
2019-06-20,22.75,22.93,21.9,21.99,969100,"CSIQ","NASDAQ"
2019-06-21,22.16,22.34,21.9,22.07,858400,"CSIQ","NASDAQ"
2019-06-24,22.14,22.285,21.85,22.18,318100,"CSIQ","NASDAQ"
2019-06-25,22.11,22.34,20.969,21.27,1063700,"CSIQ","NASDAQ"
2019-06-26,21.43,21.85,21.21,21.31,391000,"CSIQ","NASDAQ"
2019-06-27,21.4,22.14,21.18,22,799400,"CSIQ","NASDAQ"
2019-06-28,22.04,22.24,21.53,21.83,641300,"CSIQ","NASDAQ"
2019-07-01,22.21,22.77,22.09,22.27,572000,"CSIQ","NASDAQ"
2019-07-02,22.2202,22.49,22.01,22.34,605800,"CSIQ","NASDAQ"
2019-07-03,22.4503,22.59,22,22.12,1238800,"CSIQ","NASDAQ"
2019-07-05,21.84,22.47,21.72,22.32,453100,"CSIQ","NASDAQ"
2019-07-08,22.15,22.2,21.64,21.89,480400,"CSIQ","NASDAQ"
2019-07-09,21.7708,21.88,21.47,21.65,395300,"CSIQ","NASDAQ"
2019-07-10,21.72,21.96,21.09,21.21,629100,"CSIQ","NASDAQ"
2019-07-11,21.3,21.37,20.2514,20.4,836400,"CSIQ","NASDAQ"
2019-07-12,20.61,21.03,20.4,20.81,752000,"CSIQ","NASDAQ"
2019-07-15,20.85,21,20.58,20.62,268600,"CSIQ","NASDAQ"
2019-07-16,20.66,20.93,20.44,20.62,440300,"CSIQ","NASDAQ"
2019-07-17,20.5803,20.93,20.58,20.6,376500,"CSIQ","NASDAQ"
2019-07-18,20.65,20.89,20.3393,20.73,467100,"CSIQ","NASDAQ"
2019-07-19,20.75,21.11,20.7,20.94,407100,"CSIQ","NASDAQ"
2019-07-22,20.99,21.33,20.76,20.87,286200,"CSIQ","NASDAQ"
2019-07-23,20.88,21.1,20.44,20.6,357500,"CSIQ","NASDAQ"
2019-07-24,20.57,20.82,20.4,20.61,257800,"CSIQ","NASDAQ"
2019-07-25,20.62,20.71,19.95,20.19,495100,"CSIQ","NASDAQ"
2019-07-26,20.1894,20.46,19.88,20.41,374100,"CSIQ","NASDAQ"
2019-07-29,20.31,20.78,20.31,20.72,293800,"CSIQ","NASDAQ"
2019-07-30,20.56,21.24,20.37,21.18,510600,"CSIQ","NASDAQ"
2019-07-31,21.3,21.69,21.07,21.32,562100,"CSIQ","NASDAQ"
2019-08-01,21.65,23.35,21.65,22.23,1224600,"CSIQ","NASDAQ"
2019-08-02,22.3,22.55,21.55,21.8,507700,"CSIQ","NASDAQ"
2019-08-05,21.21,21.34,20.1,20.52,729600,"CSIQ","NASDAQ"
2019-08-06,21.02,21.29,20.68,20.92,399400,"CSIQ","NASDAQ"
2019-08-07,20.99,21.7902,20.8,21.74,561000,"CSIQ","NASDAQ"
2019-08-08,21.72,22.285,21.52,22.26,447900,"CSIQ","NASDAQ"
2019-08-09,22.06,22.21,21.69,21.86,443000,"CSIQ","NASDAQ"
2019-08-12,21.55,21.659,21.1,21.28,449200,"CSIQ","NASDAQ"
2019-08-13,21.17,21.95,21.04,21.86,473400,"CSIQ","NASDAQ"
2019-08-14,21.35,21.56,20.35,20.6,1077500,"CSIQ","NASDAQ"
2019-08-15,23.76,24.25,21.12,23.08,4381700,"CSIQ","NASDAQ"
2019-08-16,23.48,23.97,23.04,23.39,1583000,"CSIQ","NASDAQ"
2019-08-19,23.69,24.72,23.56,24.36,1623000,"CSIQ","NASDAQ"
2019-08-20,24.2,24.3,23.87,24.03,583500,"CSIQ","NASDAQ"
2019-08-21,24.53,24.82,24.3,24.5,664300,"CSIQ","NASDAQ"
2019-08-22,24.49,24.56,23.72,23.77,603900,"CSIQ","NASDAQ"
2019-08-23,23.48,23.74,22.63,22.74,664100,"CSIQ","NASDAQ"
2019-08-26,23.06,23.31,22.9,23.09,365700,"CSIQ","NASDAQ"
2019-08-27,23.11,23.4,22.32,22.56,742500,"CSIQ","NASDAQ"
2019-08-28,22.74,23.27,22.51,23.14,537800,"CSIQ","NASDAQ"
2019-08-29,23.38,23.78,23.13,23.29,470300,"CSIQ","NASDAQ"
2019-08-30,23.62,23.87,22.97,23.39,492100,"CSIQ","NASDAQ"
2019-09-03,23.14,23.4,22.89,23.17,810900,"CSIQ","NASDAQ"
2019-09-04,23.41,23.56,23.13,23.27,464900,"CSIQ","NASDAQ"
2019-09-05,23.58,23.81,22.85,23.06,602200,"CSIQ","NASDAQ"
2019-09-06,23.24,23.34,22.52,22.72,513900,"CSIQ","NASDAQ"
2019-09-09,22.78,22.96,21.35,21.41,788800,"CSIQ","NASDAQ"
2019-09-10,21.34,21.51,20.14,21.2,993500,"CSIQ","NASDAQ"
2019-09-11,21.39,21.71,21,21.2,516200,"CSIQ","NASDAQ"
2019-09-12,21.39,21.58,20.66,21.16,568100,"CSIQ","NASDAQ"
2019-09-13,21.38,21.5,21.11,21.31,472300,"CSIQ","NASDAQ"
2019-09-16,21.54,22.04,21.32,21.46,685500,"CSIQ","NASDAQ"
2019-09-17,21.46,22.25,21.31,21.91,799800,"CSIQ","NASDAQ"
2019-09-18,21.89,21.97,21.25,21.69,442800,"CSIQ","NASDAQ"
