"times","open","high","low","close","volume","symbol","market"
2019-05-30,13.811,13.932,13.7,13.7,1600,"CSPI","NASDAQ"
2019-05-31,13.65,13.94,13.6,13.94,1300,"CSPI","NASDAQ"
2019-06-03,13.876,14.17,13.75,14.1,5700,"CSPI","NASDAQ"
2019-06-04,13.809,15.45,13.809,15.04,8300,"CSPI","NASDAQ"
2019-06-05,15.06,15.06,14.196,14.479,4200,"CSPI","NASDAQ"
2019-06-06,14.55,14.986,14.55,14.986,400,"CSPI","NASDAQ"
2019-06-07,14.8,15.21,14.67,15.2,2900,"CSPI","NASDAQ"
2019-06-10,14.522,14.947,14.522,14.947,700,"CSPI","NASDAQ"
2019-06-11,14.374,15.2018,14.374,15.121,1500,"CSPI","NASDAQ"
2019-06-12,14.5,14.5,14.48,14.5,4000,"CSPI","NASDAQ"
2019-06-13,14.85,15.277,14.378,14.378,1600,"CSPI","NASDAQ"
2019-06-14,15,15.5,14.1061,15.07,3400,"CSPI","NASDAQ"
2019-06-17,15.07,15.5,14.02,15.2,8100,"CSPI","NASDAQ"
2019-06-18,15.145,15.23,14.956,15.23,3500,"CSPI","NASDAQ"
2019-06-19,15.06,15.236,14.75,15.236,2100,"CSPI","NASDAQ"
2019-06-20,15.22,15.22,15.22,15.22,100,"CSPI","NASDAQ"
2019-06-21,14.955,14.955,14.955,14.955,300,"CSPI","NASDAQ"
2019-06-24,15.24,15.24,14.856,14.856,1800,"CSPI","NASDAQ"
2019-06-25,14.86,14.86,14.86,14.86,100,"CSPI","NASDAQ"
2019-06-26,14.774,14.956,14.774,14.888,3600,"CSPI","NASDAQ"
2019-06-27,14.9282,15.18,14.93,15.106,1600,"CSPI","NASDAQ"
2019-06-28,15.006,15.25,14.858,15.25,2300,"CSPI","NASDAQ"
2019-07-01,15.176,15.1756,14.963,15.1,1100,"CSPI","NASDAQ"
2019-07-02,15.1,15.1,13.608,14.51,7200,"CSPI","NASDAQ"
2019-07-03,14.935,14.935,14.935,14.935,100,"CSPI","NASDAQ"
2019-07-05,14.25,15.09,14.25,14.93,500,"CSPI","NASDAQ"
2019-07-08,14.36,14.45,14.01,14.45,1600,"CSPI","NASDAQ"
2019-07-09,14.07,14.37,13.89,14.37,1300,"CSPI","NASDAQ"
2019-07-10,13.99,14.35,13.99,14.35,1500,"CSPI","NASDAQ"
2019-07-11,14.48,14.57,14.48,14.57,1400,"CSPI","NASDAQ"
2019-07-12,14.49,14.52,14.06,14.06,3400,"CSPI","NASDAQ"
2019-07-15,14.47,14.59,13.94,13.94,900,"CSPI","NASDAQ"
2019-07-16,14.15,14.15,14.03,14.1,2400,"CSPI","NASDAQ"
2019-07-17,13.76,14.21,13.76,14.21,700,"CSPI","NASDAQ"
