"times","open","high","low","close","volume","symbol","market"
2019-05-30,12.1,12.14,12.01,12.09,232500,"CSQ","NASDAQ"
2019-05-31,12.06,12.06,11.85,11.93,308100,"CSQ","NASDAQ"
2019-06-03,11.92,11.99,11.78,11.83,293600,"CSQ","NASDAQ"
2019-06-04,11.94,12.11,11.91,12.1,284200,"CSQ","NASDAQ"
2019-06-05,12.16,12.25,12.09,12.23,241100,"CSQ","NASDAQ"
2019-06-06,12.24,12.29,12.18,12.27,190400,"CSQ","NASDAQ"
2019-06-07,12.27,12.4314,12.24,12.31,343800,"CSQ","NASDAQ"
2019-06-10,12.36,12.52,12.33,12.46,263900,"CSQ","NASDAQ"
2019-06-11,12.5,12.61,12.49,12.52,262000,"CSQ","NASDAQ"
2019-06-12,12.53,12.58,12.46,12.51,222000,"CSQ","NASDAQ"
2019-06-13,12.45,12.51,12.43,12.45,227100,"CSQ","NASDAQ"
2019-06-14,12.45,12.47,12.36,12.43,153000,"CSQ","NASDAQ"
2019-06-17,12.43,12.48,12.35,12.43,227600,"CSQ","NASDAQ"
2019-06-18,12.4999,12.59,12.48,12.55,295300,"CSQ","NASDAQ"
2019-06-19,12.55,12.69,12.5,12.62,191500,"CSQ","NASDAQ"
2019-06-20,12.74,12.77,12.62,12.76,314700,"CSQ","NASDAQ"
2019-06-21,12.7498,12.86,12.74,12.74,280400,"CSQ","NASDAQ"
2019-06-24,12.78,12.82,12.67,12.72,194800,"CSQ","NASDAQ"
2019-06-25,12.73,12.76,12.56,12.58,184500,"CSQ","NASDAQ"
2019-06-26,12.61,12.74,12.58,12.62,170700,"CSQ","NASDAQ"
2019-06-27,12.67,12.71,12.6208,12.69,168000,"CSQ","NASDAQ"
2019-06-28,12.73,12.86,12.66,12.76,189700,"CSQ","NASDAQ"
2019-07-01,12.91,12.97,12.8,12.87,223700,"CSQ","NASDAQ"
2019-07-02,12.87,12.91,12.78,12.89,277300,"CSQ","NASDAQ"
2019-07-03,12.92,13.03,12.8409,13.01,174500,"CSQ","NASDAQ"
