"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.261,8.3623,8.08,8.08,22800,"CSSE","NASDAQ"
2019-05-31,8.08,8.09,7.9099,8.05,46200,"CSSE","NASDAQ"
2019-06-03,8.05,8.273,7.82,8.05,8300,"CSSE","NASDAQ"
2019-06-04,8.04,8.26,7.91,8.05,42000,"CSSE","NASDAQ"
2019-06-05,8.1,8.13,7.65,7.68,37700,"CSSE","NASDAQ"
2019-06-06,7.75,7.81,7.53,7.54,38900,"CSSE","NASDAQ"
2019-06-07,7.59,7.86,7.52,7.63,28500,"CSSE","NASDAQ"
2019-06-10,7.563,7.778,7.563,7.6,11900,"CSSE","NASDAQ"
2019-06-11,7.751,7.8,7.22,7.31,47600,"CSSE","NASDAQ"
2019-06-12,7.37,7.44,7.11,7.19,22200,"CSSE","NASDAQ"
2019-06-13,7.15,7.48,7.15,7.25,31600,"CSSE","NASDAQ"
2019-06-14,7.22,7.63,7.22,7.35,8600,"CSSE","NASDAQ"
2019-06-17,7.29,7.3,7.19,7.19,2800,"CSSE","NASDAQ"
2019-06-18,7.214,7.4,7.17,7.31,15400,"CSSE","NASDAQ"
2019-06-19,7.399,7.645,7.335,7.57,24000,"CSSE","NASDAQ"
2019-06-20,7.55,7.624,7.312,7.4,18500,"CSSE","NASDAQ"
2019-06-21,7.47,7.47,7.3,7.35,5000,"CSSE","NASDAQ"
2019-06-24,7.41,7.49,7.355,7.49,4600,"CSSE","NASDAQ"
2019-06-25,7.4,7.425,7.32,7.425,10500,"CSSE","NASDAQ"
2019-06-26,7.4,7.49,7.363,7.49,3700,"CSSE","NASDAQ"
2019-06-27,7.42,7.42,7.32,7.35,7900,"CSSE","NASDAQ"
2019-06-28,7.5,7.795,7.5,7.5,40800,"CSSE","NASDAQ"
2019-07-01,7.51,7.6,7.5,7.56,4800,"CSSE","NASDAQ"
2019-07-02,7.9,7.9,7.347,7.67,5000,"CSSE","NASDAQ"
2019-07-03,7.61,7.837,7.52,7.6,3800,"CSSE","NASDAQ"
2019-07-05,7.59,7.59,7.4997,7.5,5200,"CSSE","NASDAQ"
2019-07-08,7.49,7.58,7.45,7.49,10100,"CSSE","NASDAQ"
2019-07-09,7.3148,7.5,7.31,7.31,3000,"CSSE","NASDAQ"
2019-07-10,7.3005,7.46,7.3,7.39,1400,"CSSE","NASDAQ"
2019-07-11,7.46,7.5,7.07,7.16,9700,"CSSE","NASDAQ"
2019-07-12,7.11,7.15,7.01,7.02,10900,"CSSE","NASDAQ"
2019-07-15,7.31,8.67,7.25,8.4,100700,"CSSE","NASDAQ"
2019-07-16,8.47,8.5,8.02,8.25,38400,"CSSE","NASDAQ"
2019-07-17,8.46,8.46,8.12,8.4,24600,"CSSE","NASDAQ"
2019-07-18,8.36,8.956,8.32,8.832,54100,"CSSE","NASDAQ"
2019-07-19,8.9199,8.949,8.58,8.67,20800,"CSSE","NASDAQ"
2019-07-22,8.77,8.817,8.5153,8.675,8300,"CSSE","NASDAQ"
2019-07-23,8.82,8.877,8,8,42800,"CSSE","NASDAQ"
2019-07-24,8.03,8.369,8.02,8.25,11400,"CSSE","NASDAQ"
2019-07-25,8.21,8.2701,7.93,7.96,12300,"CSSE","NASDAQ"
2019-07-26,7.93,8.55,7.93,8.49,24500,"CSSE","NASDAQ"
2019-07-29,8.55,8.97,8.31,8.7,39600,"CSSE","NASDAQ"
2019-07-30,8.74,9.22,8.649,9.05,30100,"CSSE","NASDAQ"
2019-07-31,9,9.545,9,9.28,53200,"CSSE","NASDAQ"
2019-08-01,9.4,9.409,9.222,9.4,38100,"CSSE","NASDAQ"
2019-08-02,9.38,9.45,8.93,9.37,19400,"CSSE","NASDAQ"
2019-08-05,9.4,9.44,8.431,9.325,21500,"CSSE","NASDAQ"
2019-08-06,9.4,9.464,9.01,9.01,13200,"CSSE","NASDAQ"
2019-08-07,9.22,9.8,9.17,9.3,45300,"CSSE","NASDAQ"
2019-08-08,9.39,9.581,8.75,8.82,28500,"CSSE","NASDAQ"
2019-08-09,9,9.239,9,9,13100,"CSSE","NASDAQ"
2019-08-12,9.05,9.429,9,9.03,16600,"CSSE","NASDAQ"
2019-08-13,9.46,9.46,9.045,9.285,10100,"CSSE","NASDAQ"
2019-08-14,9.4,9.794,9.038,9.23,37900,"CSSE","NASDAQ"
2019-08-15,9.05,9.75,9.05,9.2,25300,"CSSE","NASDAQ"
2019-08-16,9.206,9.35,9.06,9.35,7700,"CSSE","NASDAQ"
2019-08-19,9.31,9.48,9.1,9.2,14400,"CSSE","NASDAQ"
2019-08-20,9.084,9.125,9,9.07,15200,"CSSE","NASDAQ"
2019-08-21,9.06,9.375,9,9.02,4300,"CSSE","NASDAQ"
2019-08-22,9.19,9.485,9,9,1300,"CSSE","NASDAQ"
2019-08-23,9.01,9.24,9,9.21,10000,"CSSE","NASDAQ"
2019-08-26,9.2,9.31,9.107,9.3,14900,"CSSE","NASDAQ"
2019-08-27,9.381,9.951,9.05,9.25,39400,"CSSE","NASDAQ"
2019-08-28,9.4,9.521,9.14,9.19,16700,"CSSE","NASDAQ"
2019-08-29,9.42,10,9.16,9.22,15200,"CSSE","NASDAQ"
2019-08-30,9.5,9.5,9.12,9.12,8400,"CSSE","NASDAQ"
2019-09-03,9.617,9.617,9,9.01,24800,"CSSE","NASDAQ"
2019-09-04,9.5,9.5,9,9,7900,"CSSE","NASDAQ"
2019-09-05,9.04,9.535,9,9.01,3800,"CSSE","NASDAQ"
2019-09-06,9.05,9.41,9.02,9.28,24200,"CSSE","NASDAQ"
2019-09-09,9.19,9.24,8.83,9.2,28000,"CSSE","NASDAQ"
2019-09-10,9.29,9.49,9,9.22,8200,"CSSE","NASDAQ"
2019-09-11,9.15,10.627,9.15,9.83,198500,"CSSE","NASDAQ"
2019-09-12,9.92,9.98,9.48,9.5,14600,"CSSE","NASDAQ"
2019-09-13,9.785,9.785,9.46,9.52,1800,"CSSE","NASDAQ"
2019-09-16,9.62,9.71,9.32,9.45,4800,"CSSE","NASDAQ"
2019-09-17,9.7,9.74,9.45,9.67,9800,"CSSE","NASDAQ"
2019-09-18,9.56,10.023,9.45,9.78,12700,"CSSE","NASDAQ"
2019-09-19,9.71,10.189,9.33,9.36,9200,"CSSE","NASDAQ"
2019-09-20,9.85,9.85,9.45,9.85,10000,"CSSE","NASDAQ"
2019-09-23,9.51,9.818,9.48,9.67,9800,"CSSE","NASDAQ"
2019-09-24,9.546,9.61,9.51,9.61,3200,"CSSE","NASDAQ"
2019-09-25,9.6,9.666,9.6,9.6,3300,"CSSE","NASDAQ"
2019-09-26,9.5,9.5,9.5,9.5,700,"CSSE","NASDAQ"
2019-09-27,9.61,9.653,9.6,9.6,2500,"CSSE","NASDAQ"
2019-09-30,9.674,9.7,9.6,9.65,2000,"CSSE","NASDAQ"
2019-10-01,9.45,9.74,9.45,9.74,1500,"CSSE","NASDAQ"
2019-10-02,9.69,9.84,9.46,9.46,15600,"CSSE","NASDAQ"
2019-10-03,9.46,9.585,9.25,9.27,10800,"CSSE","NASDAQ"
2019-10-04,9.42,9.67,9.33,9.46,6600,"CSSE","NASDAQ"
2019-10-07,9.42,9.82,9.25,9.3,15000,"CSSE","NASDAQ"
2019-10-08,9.34,9.8,9.34,9.56,6600,"CSSE","NASDAQ"
2019-10-09,9.47,9.85,9.38,9.85,6200,"CSSE","NASDAQ"
2019-10-10,9.829,9.829,9.3,9.3,5400,"CSSE","NASDAQ"
2019-10-11,9.7,9.7,9.25,9.26,9300,"CSSE","NASDAQ"
2019-10-14,9.44,9.61,9.05,9.48,10100,"CSSE","NASDAQ"
2019-10-15,9.37,9.37,9.17,9.19,2500,"CSSE","NASDAQ"
2019-10-16,9.249,9.42,9.193,9.41,4100,"CSSE","NASDAQ"
2019-10-17,9.25,9.25,9.12,9.13,3300,"CSSE","NASDAQ"
2019-10-18,9.1775,9.1775,8.8,9,36680,"CSSE","NASDAQ"
