"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.24,25.24,25.11,25.15,3600,"CSSEP","NASDAQ"
2019-05-31,25.226,25.226,25.1,25.1,1600,"CSSEP","NASDAQ"
2019-06-03,25.1,25.25,25.05,25.25,8200,"CSSEP","NASDAQ"
2019-06-04,25.24,25.258,24.99,25.06,17000,"CSSEP","NASDAQ"
2019-06-05,25,25.25,25,25.19,6400,"CSSEP","NASDAQ"
2019-06-06,25.05,25.163,25,25.15,11100,"CSSEP","NASDAQ"
2019-06-07,25.1798,25.22,25.108,25.2,3100,"CSSEP","NASDAQ"
2019-06-10,25.199,25.199,25,25.17,10400,"CSSEP","NASDAQ"
2019-06-11,25.1848,25.2,25.122,25.134,3000,"CSSEP","NASDAQ"
2019-06-12,25.07,25.176,24.9997,25.129,6300,"CSSEP","NASDAQ"
2019-06-13,25.1,25.15,25.1,25.106,1700,"CSSEP","NASDAQ"
2019-06-14,25.15,25.15,24.95,24.966,35400,"CSSEP","NASDAQ"
2019-06-17,24.99,24.99,24.87,24.93,24000,"CSSEP","NASDAQ"
2019-06-18,24.9,25.135,24.897,25,17800,"CSSEP","NASDAQ"
2019-06-19,25.0994,25.1,24.975,25.035,10600,"CSSEP","NASDAQ"
2019-06-20,25.04,25.069,25.009,25.069,4200,"CSSEP","NASDAQ"
2019-06-21,25,25.2,24.99,25.1,16500,"CSSEP","NASDAQ"
2019-06-24,25.158,25.25,25.08,25.16,12000,"CSSEP","NASDAQ"
2019-06-25,25.1,25.183,25.077,25.16,2800,"CSSEP","NASDAQ"
2019-06-26,25.45,25.45,24.994,25.154,32600,"CSSEP","NASDAQ"
2019-06-27,25.09,25.09,24.9,24.95,20000,"CSSEP","NASDAQ"
2019-06-28,24.9359,24.97,24.9,24.93,7400,"CSSEP","NASDAQ"
2019-07-01,24.8,24.95,24.77,24.78,28900,"CSSEP","NASDAQ"
2019-07-02,24.79,24.98,24.74,24.75,17600,"CSSEP","NASDAQ"
2019-07-03,24.75,24.92,24.75,24.8,7500,"CSSEP","NASDAQ"
2019-07-05,24.83,24.9298,24.83,24.85,3600,"CSSEP","NASDAQ"
2019-07-08,24.85,25.044,24.85,25,13600,"CSSEP","NASDAQ"
2019-07-09,25,24.9994,24.895,24.91,3400,"CSSEP","NASDAQ"
2019-07-10,24.9913,25,24.95,25,5500,"CSSEP","NASDAQ"
2019-07-11,25,25,24.95,25,3600,"CSSEP","NASDAQ"
2019-07-12,24.9,25,24.9,25,4100,"CSSEP","NASDAQ"
2019-07-15,24.9993,25,24.96,24.97,5900,"CSSEP","NASDAQ"
2019-07-16,25,25,24.92,24.95,8400,"CSSEP","NASDAQ"
2019-07-17,24.93,25,24.9,24.978,9000,"CSSEP","NASDAQ"
2019-07-18,24.95,25,24.95,24.972,3900,"CSSEP","NASDAQ"
2019-07-19,25,25,24.952,24.996,9100,"CSSEP","NASDAQ"
2019-07-22,25,25,24.94,24.99,22500,"CSSEP","NASDAQ"
2019-07-23,25,25.22,24.996,25.2,12700,"CSSEP","NASDAQ"
2019-07-24,25.1,25.23,25.1,25.198,3900,"CSSEP","NASDAQ"
2019-07-25,25.22,25.25,25.19,25.25,9400,"CSSEP","NASDAQ"
2019-07-26,25.35,25.35,25.191,25.25,9700,"CSSEP","NASDAQ"
2019-07-29,25.2,25.4,25.15,25.26,8900,"CSSEP","NASDAQ"
2019-07-30,25,25.231,25,25.18,5600,"CSSEP","NASDAQ"
2019-07-31,25.23,25.304,25.215,25.27,6100,"CSSEP","NASDAQ"
2019-08-01,25.25,25.38,25.25,25.3,5700,"CSSEP","NASDAQ"
2019-08-02,25.202,25.22,25.2,25.22,2800,"CSSEP","NASDAQ"
2019-08-05,25.22,25.22,25.05,25.06,12000,"CSSEP","NASDAQ"
2019-08-06,25.154,25.154,25.095,25.095,3200,"CSSEP","NASDAQ"
2019-08-07,25.07,25.15,25.04,25.045,7100,"CSSEP","NASDAQ"
2019-08-08,25.08,25.21,25.08,25.168,5800,"CSSEP","NASDAQ"
2019-08-09,25.05,25.22,25.05,25.22,3900,"CSSEP","NASDAQ"
2019-08-12,25.22,25.22,25.095,25.2,9700,"CSSEP","NASDAQ"
2019-08-13,25.2,25.207,25.118,25.181,4100,"CSSEP","NASDAQ"
2019-08-14,25.22,25.22,25.06,25.06,10200,"CSSEP","NASDAQ"
2019-08-15,25.05,25.05,24.872,24.929,14200,"CSSEP","NASDAQ"
2019-08-16,24.95,25.06,24.95,25.029,4500,"CSSEP","NASDAQ"
2019-08-19,25,25.035,24.9,25,18000,"CSSEP","NASDAQ"
2019-08-20,24.9,24.95,24.8,24.93,58000,"CSSEP","NASDAQ"
2019-08-21,24.91,24.97,24.9,24.945,9000,"CSSEP","NASDAQ"
2019-08-22,25,25,24.93,24.975,9000,"CSSEP","NASDAQ"
2019-08-23,25,25,24.97,24.98,3000,"CSSEP","NASDAQ"
2019-08-26,25.001,25.1,25.001,25.071,7500,"CSSEP","NASDAQ"
2019-08-27,25.1,25.19,24.99,25.19,7800,"CSSEP","NASDAQ"
2019-08-28,25.2,25.21,25.114,25.21,5000,"CSSEP","NASDAQ"
2019-08-29,25.17,25.4,24.941,25.4,20800,"CSSEP","NASDAQ"
2019-08-30,25.4,25.43,25.207,25.307,23400,"CSSEP","NASDAQ"
2019-09-03,25.37,25.38,25.2,25.2,7200,"CSSEP","NASDAQ"
2019-09-04,25.349,25.35,25.19,25.21,3400,"CSSEP","NASDAQ"
2019-09-05,25.05,25.3,25,25.198,5700,"CSSEP","NASDAQ"
2019-09-06,25.12,25.223,25.1,25.22,4100,"CSSEP","NASDAQ"
2019-09-09,25.138,25.311,25.1,25.1,7500,"CSSEP","NASDAQ"
2019-09-10,25.35,25.35,25.164,25.225,700,"CSSEP","NASDAQ"
2019-09-11,25.155,25.2,25.07,25.19,4400,"CSSEP","NASDAQ"
2019-09-12,25.15,25.31,25.12,25.182,3200,"CSSEP","NASDAQ"
2019-09-13,25.22,25.33,25.07,25.299,13700,"CSSEP","NASDAQ"
2019-09-16,25.3,25.3,25.135,25.208,5500,"CSSEP","NASDAQ"
2019-09-17,25.255,25.285,25.155,25.16,7700,"CSSEP","NASDAQ"
2019-09-18,25.28,25.28,25.15,25.19,8400,"CSSEP","NASDAQ"
2019-09-19,25.226,25.3,25.095,25.13,21000,"CSSEP","NASDAQ"
2019-09-20,25.19,25.25,25.075,25.15,9900,"CSSEP","NASDAQ"
2019-09-23,25.24,25.3,25.12,25.12,2200,"CSSEP","NASDAQ"
2019-09-24,25.34,25.4,25.151,25.4,12000,"CSSEP","NASDAQ"
2019-09-25,25.41,25.45,25.303,25.303,8800,"CSSEP","NASDAQ"
2019-09-26,25.3,25.44,25.3,25.44,5900,"CSSEP","NASDAQ"
2019-09-27,25.169,25.226,25.05,25.15,19300,"CSSEP","NASDAQ"
2019-09-30,25.15,25.18,25.14,25.18,4600,"CSSEP","NASDAQ"
2019-10-01,25.21,25.277,25.11,25.14,12300,"CSSEP","NASDAQ"
2019-10-02,25.19,25.19,25.05,25.05,8700,"CSSEP","NASDAQ"
2019-10-03,25.103,25.15,25.06,25.117,6700,"CSSEP","NASDAQ"
2019-10-04,25.08,25.21,25.05,25.1,8900,"CSSEP","NASDAQ"
2019-10-07,25.07,25.186,25.07,25.177,6900,"CSSEP","NASDAQ"
2019-10-08,25.18,25.18,25.145,25.145,1100,"CSSEP","NASDAQ"
2019-10-09,25.2,25.206,25.172,25.2,2800,"CSSEP","NASDAQ"
2019-10-10,25.193,25.193,25.1,25.17,2300,"CSSEP","NASDAQ"
2019-10-11,25.11,25.155,25.077,25.08,12700,"CSSEP","NASDAQ"
2019-10-14,25.186,25.218,25,25.12,16000,"CSSEP","NASDAQ"
2019-10-15,25.12,25.135,25.02,25.05,8600,"CSSEP","NASDAQ"
2019-10-16,25.06,25.1,25.06,25.091,6700,"CSSEP","NASDAQ"
2019-10-17,25.121,25.2,25.11,25.15,3500,"CSSEP","NASDAQ"
2019-10-18,25.1536,25.32,25.11,25.15,22105,"CSSEP","NASDAQ"
