"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.27,14.49,13.83,13.94,56100,"CSTE","NASDAQ"
2019-05-31,13.8,13.955,13.54,13.87,91400,"CSTE","NASDAQ"
2019-06-03,13.9,13.97,13.74,13.91,151000,"CSTE","NASDAQ"
2019-06-04,13.9913,14.74,13.99,14.42,235200,"CSTE","NASDAQ"
2019-06-05,14.51,14.82,14.2005,14.3,77200,"CSTE","NASDAQ"
2019-06-06,14.26,14.41,14.0092,14.14,69600,"CSTE","NASDAQ"
2019-06-07,14.19,14.53,14.07,14.4,137800,"CSTE","NASDAQ"
2019-06-10,14.3492,14.79,14.27,14.67,179600,"CSTE","NASDAQ"
2019-06-11,14.87,14.96,14.53,14.55,54800,"CSTE","NASDAQ"
2019-06-12,14.49,14.66,14.41,14.62,118900,"CSTE","NASDAQ"
2019-06-13,14.65,14.72,14.37,14.42,58600,"CSTE","NASDAQ"
2019-06-14,14.38,14.5495,14.26,14.29,86200,"CSTE","NASDAQ"
2019-06-17,14.26,14.29,14.06,14.13,79300,"CSTE","NASDAQ"
2019-06-18,14.18,14.75,14.1802,14.54,213700,"CSTE","NASDAQ"
2019-06-19,14.62,14.68,14.34,14.61,65300,"CSTE","NASDAQ"
2019-06-20,14.65,14.79,14.635,14.76,49500,"CSTE","NASDAQ"
2019-06-21,14.66,14.795,14.44,14.63,233000,"CSTE","NASDAQ"
2019-06-24,14.55,14.7188,14.23,14.3,101400,"CSTE","NASDAQ"
2019-06-25,14.41,14.8,14.2999,14.67,120400,"CSTE","NASDAQ"
2019-06-26,14.61,14.73,14.32,14.57,88700,"CSTE","NASDAQ"
2019-06-27,14.57,14.76,14.47,14.69,119900,"CSTE","NASDAQ"
2019-06-28,14.67,15.26,14.67,15.03,255200,"CSTE","NASDAQ"
2019-07-01,15.19,15.193,14.99,15.05,85200,"CSTE","NASDAQ"
2019-07-02,14.95,15.05,14.86,15.02,91800,"CSTE","NASDAQ"
2019-07-03,15.07,15.18,15,15.14,71500,"CSTE","NASDAQ"
2019-07-05,15.03,15.6,15.03,15.53,226900,"CSTE","NASDAQ"
2019-07-08,15.45,15.58,15.11,15.26,69600,"CSTE","NASDAQ"
2019-07-09,15.15,15.18,14.93,15.07,44700,"CSTE","NASDAQ"
2019-07-10,15.2,15.32,15.0612,15.22,159000,"CSTE","NASDAQ"
2019-07-11,15.16,15.16,14.74,15.01,69200,"CSTE","NASDAQ"
2019-07-12,15.02,15.12,14.98,15.06,101200,"CSTE","NASDAQ"
2019-07-15,15.05,15.05,14.83,14.97,47500,"CSTE","NASDAQ"
2019-07-16,15.1,15.23,15.02,15.17,54100,"CSTE","NASDAQ"
2019-07-17,15.12,15.31,15.02,15.24,125500,"CSTE","NASDAQ"
2019-07-18,15.27,15.27,14.91,14.96,38400,"CSTE","NASDAQ"
2019-07-19,14.92,15.06,14.86,14.87,47700,"CSTE","NASDAQ"
2019-07-22,14.84,14.87,14.52,14.61,62100,"CSTE","NASDAQ"
2019-07-23,14.63,14.8,14.53,14.79,127400,"CSTE","NASDAQ"
2019-07-24,14.69,15.03,14.69,14.92,83400,"CSTE","NASDAQ"
2019-07-25,14.8902,15.15,14.83,14.85,58200,"CSTE","NASDAQ"
2019-07-26,14.8598,14.94,14.59,14.64,43700,"CSTE","NASDAQ"
2019-07-29,14.55,14.62,14.3,14.38,63700,"CSTE","NASDAQ"
2019-07-30,14.41,14.58,14.34,14.43,71800,"CSTE","NASDAQ"
2019-07-31,14.47,14.52,14.05,14.07,104500,"CSTE","NASDAQ"
2019-08-01,14.1,14.24,13.85,13.93,82800,"CSTE","NASDAQ"
2019-08-02,13.81,14.1,13.53,13.66,50600,"CSTE","NASDAQ"
2019-08-05,13.49,14.0115,13.49,13.92,156900,"CSTE","NASDAQ"
2019-08-06,13.93,14.28,13.83,14.25,74900,"CSTE","NASDAQ"
2019-08-07,13.2593,15.47,12.81,15.44,515300,"CSTE","NASDAQ"
2019-08-08,16.02,17,15.86,16.57,336100,"CSTE","NASDAQ"
2019-08-09,16.6498,16.7,16.1,16.4,147400,"CSTE","NASDAQ"
2019-08-12,16.32,16.4,15.82,15.91,84100,"CSTE","NASDAQ"
2019-08-13,15.89,16.1,15.8016,16,61000,"CSTE","NASDAQ"
2019-08-14,15.76,16.02,15.45,15.48,86400,"CSTE","NASDAQ"
2019-08-15,15.45,15.65,15.07,15.1,95100,"CSTE","NASDAQ"
2019-08-16,15.19,15.56,15.17,15.41,96900,"CSTE","NASDAQ"
2019-08-19,15.58,15.77,15.47,15.5,56100,"CSTE","NASDAQ"
2019-08-20,15.37,15.64,15.26,15.34,39100,"CSTE","NASDAQ"
2019-08-21,15.43,15.77,15.33,15.35,56700,"CSTE","NASDAQ"
2019-08-22,15.34,15.39,14.99,15.15,72000,"CSTE","NASDAQ"
2019-08-23,15.02,15.19,14.56,14.6,67900,"CSTE","NASDAQ"
2019-08-26,14.74,14.84,14.66,14.77,52700,"CSTE","NASDAQ"
2019-08-27,14.77,15.02,14.44,14.45,63200,"CSTE","NASDAQ"
2019-08-28,14.37,14.49,14.27,14.32,74500,"CSTE","NASDAQ"
2019-08-29,14.5,15.01,14.33,14.95,60000,"CSTE","NASDAQ"
2019-08-30,15.01,15.02,14.85,14.99,47300,"CSTE","NASDAQ"
2019-09-03,14.8,14.96,14.6,14.86,58100,"CSTE","NASDAQ"
2019-09-04,14.96,15.35,14.85,14.93,193100,"CSTE","NASDAQ"
2019-09-05,15.14,15.16,14.21,14.32,112300,"CSTE","NASDAQ"
2019-09-06,14.41,14.75,14.37,14.38,64600,"CSTE","NASDAQ"
2019-09-09,14.43,15.01,14.43,14.96,237100,"CSTE","NASDAQ"
2019-09-10,14.99,15.25,14.73,14.84,211800,"CSTE","NASDAQ"
2019-09-11,14.9,15.15,14.64,15.06,144600,"CSTE","NASDAQ"
2019-09-12,15,15.72,14.91,15.64,247000,"CSTE","NASDAQ"
2019-09-13,15.75,16.34,15.75,16.03,168000,"CSTE","NASDAQ"
2019-09-16,16.1,16.8,15.99,16.62,165600,"CSTE","NASDAQ"
2019-09-17,16.48,16.94,16.48,16.6,83200,"CSTE","NASDAQ"
2019-09-18,16.67,16.67,15.95,16.39,159100,"CSTE","NASDAQ"
2019-09-19,16.41,16.89,16.31,16.73,150400,"CSTE","NASDAQ"
2019-09-20,16.74,16.92,16.4,16.56,139700,"CSTE","NASDAQ"
2019-09-23,16.36,16.36,15.65,15.85,165100,"CSTE","NASDAQ"
2019-09-24,15.86,16.31,15.71,16.01,132600,"CSTE","NASDAQ"
2019-09-25,16.17,16.5,15.94,16.38,640700,"CSTE","NASDAQ"
2019-09-26,16.54,16.84,16.5,16.57,75900,"CSTE","NASDAQ"
2019-09-27,16.68,16.81,16.48,16.61,80500,"CSTE","NASDAQ"
2019-09-30,16.71,16.88,16.55,16.61,88700,"CSTE","NASDAQ"
2019-10-01,16.72,16.97,16.3,16.4,81600,"CSTE","NASDAQ"
2019-10-02,16.39,16.81,15.41,16.52,432700,"CSTE","NASDAQ"
2019-10-03,16.43,16.68,16.25,16.43,144300,"CSTE","NASDAQ"
2019-10-04,16.43,16.56,16.29,16.48,75900,"CSTE","NASDAQ"
2019-10-07,16.48,16.57,16.25,16.52,115500,"CSTE","NASDAQ"
2019-10-08,16.48,16.81,16.35,16.38,203800,"CSTE","NASDAQ"
2019-10-09,16.53,16.53,16.15,16.18,50900,"CSTE","NASDAQ"
2019-10-10,16.19,16.31,15.97,16.08,58100,"CSTE","NASDAQ"
2019-10-11,16.4,16.85,16.4,16.57,89000,"CSTE","NASDAQ"
2019-10-14,16.63,17.28,16.5,17.14,144800,"CSTE","NASDAQ"
2019-10-15,17.11,17.11,16.65,16.74,75800,"CSTE","NASDAQ"
2019-10-16,16.8,17.39,16.6,17.21,128700,"CSTE","NASDAQ"
2019-10-17,17.31,17.8,17.29,17.72,148400,"CSTE","NASDAQ"
2019-10-18,17.66,17.71,17.2,17.27,73807,"CSTE","NASDAQ"
