"times","open","high","low","close","volume","symbol","market"
2019-05-30,64.83,65.5,63.25,63.39,84600,"CSWI","NASDAQ"
2019-05-31,62.97,63.97,62.44,63.93,58400,"CSWI","NASDAQ"
2019-06-03,64.01,65.42,63.26,64.87,57000,"CSWI","NASDAQ"
2019-06-04,65.43,66.295,64,65.04,206200,"CSWI","NASDAQ"
2019-06-05,65.32,65.84,64.8306,65.5,47400,"CSWI","NASDAQ"
2019-06-06,65.53,65.85,64.735,65.28,96800,"CSWI","NASDAQ"
2019-06-07,65.51,66.25,65.15,65.81,48500,"CSWI","NASDAQ"
2019-06-10,66.18,66.9,65.87,66.19,64700,"CSWI","NASDAQ"
2019-06-11,66.56,67.144,66.15,66.68,88800,"CSWI","NASDAQ"
2019-06-12,66.92,67.305,66.1,67.04,78800,"CSWI","NASDAQ"
2019-06-13,67.34,68.66,67.344,68.49,61800,"CSWI","NASDAQ"
2019-06-14,68.75,69.1,67.4846,67.65,57000,"CSWI","NASDAQ"
2019-06-17,67.84,67.915,66.39,67.07,41200,"CSWI","NASDAQ"
2019-06-18,67.49,68.49,67.11,67.11,68700,"CSWI","NASDAQ"
2019-06-19,67.52,68.19,66.75,67.25,87100,"CSWI","NASDAQ"
2019-06-20,67.67,67.92,66.89,67.74,87100,"CSWI","NASDAQ"
2019-06-21,67.27,68.98,66.97,67.44,112100,"CSWI","NASDAQ"
2019-06-24,67.35,68.23,65.97,66,49900,"CSWI","NASDAQ"
2019-06-25,66.1,66.955,64.8616,65.28,65500,"CSWI","NASDAQ"
2019-06-26,65.5308,66.61,65.16,65.88,47800,"CSWI","NASDAQ"
2019-06-27,65.87,67.3,65.72,67.3,58200,"CSWI","NASDAQ"
2019-06-28,67.42,69.12,67.0315,68.15,167200,"CSWI","NASDAQ"
2019-07-01,68.59,68.685,67.31,68.36,71300,"CSWI","NASDAQ"
2019-07-02,68.55,69.15,67.67,67.99,55600,"CSWI","NASDAQ"
2019-07-03,68.25,68.81,67.86,68.61,36300,"CSWI","NASDAQ"
2019-07-05,68.42,68.73,67.66,68.06,45000,"CSWI","NASDAQ"
2019-07-08,67.7,68.8,66.908,68.62,52400,"CSWI","NASDAQ"
2019-07-09,68.5463,69.66,68.38,69.5,74000,"CSWI","NASDAQ"
2019-07-10,69.48,70.3,68.96,69.58,54100,"CSWI","NASDAQ"
2019-07-11,69.59,69.8,68.75,69.29,69200,"CSWI","NASDAQ"
2019-07-12,69.39,70.475,69.16,70,57700,"CSWI","NASDAQ"
2019-07-15,70.27,70.7,69.74,70.39,64500,"CSWI","NASDAQ"
2019-07-16,70.14,70.96,69.84,70.18,71100,"CSWI","NASDAQ"
2019-07-17,70.15,70.865,69.92,69.92,77300,"CSWI","NASDAQ"
2019-07-18,70.13,70.36,69.2,69.25,136900,"CSWI","NASDAQ"
2019-07-19,69.02,69.593,68.52,68.55,58000,"CSWI","NASDAQ"
2019-07-22,68.88,69.11,68.55,68.95,63700,"CSWI","NASDAQ"
2019-07-23,69.1437,69.3,68.39,69.2,41100,"CSWI","NASDAQ"
2019-07-24,68.93,70.2,68.55,69.79,75600,"CSWI","NASDAQ"
2019-07-25,69.9,70.409,69.11,69.96,71500,"CSWI","NASDAQ"
2019-07-26,70,70.84,69.17,70.49,72200,"CSWI","NASDAQ"
2019-07-29,70.19,71.25,69.85,70.87,55600,"CSWI","NASDAQ"
2019-07-30,70.76,71.89,70.45,70.99,78600,"CSWI","NASDAQ"
2019-07-31,71.05,72.65,70.58,70.61,67600,"CSWI","NASDAQ"
2019-08-01,70.56,71.28,69.21,69.38,60200,"CSWI","NASDAQ"
2019-08-02,69.13,69.54,68.364,68.72,103800,"CSWI","NASDAQ"
2019-08-05,67.79,67.88,66.33,67.48,108500,"CSWI","NASDAQ"
