"times","open","high","low","close","volume","symbol","market"
2019-05-30,40.93,41.202,39.62,40.33,17700,"CTBI","NASDAQ"
2019-05-31,39.77,40.1,39.5,39.59,17900,"CTBI","NASDAQ"
2019-06-03,39.54,40.13,39.45,39.85,54000,"CTBI","NASDAQ"
2019-06-04,40.2,40.82,40.2,40.82,22500,"CTBI","NASDAQ"
2019-06-05,40.62,41.465,40.41,40.61,23800,"CTBI","NASDAQ"
2019-06-06,40.39,40.98,39.86,40.37,17100,"CTBI","NASDAQ"
2019-06-07,40.31,40.84,40.19,40.24,12000,"CTBI","NASDAQ"
2019-06-10,40.43,40.87,40.29,40.54,10800,"CTBI","NASDAQ"
2019-06-11,40.7,40.85,40.15,40.51,18400,"CTBI","NASDAQ"
2019-06-12,40.29,40.71,40.17,40.37,9600,"CTBI","NASDAQ"
2019-06-13,40.14,41,40.14,40.5,26900,"CTBI","NASDAQ"
2019-06-14,40.29,40.78,40.29,40.55,16700,"CTBI","NASDAQ"
2019-06-17,40.38,40.55,40.045,40.22,12800,"CTBI","NASDAQ"
2019-06-18,40.19,40.92,40.19,40.46,44600,"CTBI","NASDAQ"
2019-06-19,40.52,40.88,40.2,40.38,13200,"CTBI","NASDAQ"
2019-06-20,40.61,40.8294,40.34,40.55,19000,"CTBI","NASDAQ"
2019-06-21,40.3202,41.05,40.32,40.77,77100,"CTBI","NASDAQ"
2019-06-24,40.78,41.33,40.78,41.13,41200,"CTBI","NASDAQ"
2019-06-25,40.9285,41.39,40.57,41.15,29700,"CTBI","NASDAQ"
2019-06-26,41.26,41.91,40.83,40.87,22300,"CTBI","NASDAQ"
2019-06-27,40.73,41.66,40.7309,41.63,29500,"CTBI","NASDAQ"
2019-06-28,41.75,42.41,41.75,42.29,73300,"CTBI","NASDAQ"
2019-07-01,42.4,42.41,41.8487,42.14,20200,"CTBI","NASDAQ"
2019-07-02,42.21,42.32,41.18,41.6,20900,"CTBI","NASDAQ"
2019-07-03,41.64,42.215,41.51,41.89,6700,"CTBI","NASDAQ"
2019-07-05,41.92,42.4,41.74,42.32,18400,"CTBI","NASDAQ"
2019-07-08,41.98,42.22,41.1,41.5,15200,"CTBI","NASDAQ"
2019-07-09,41.2,41.71,41.2,41.65,15800,"CTBI","NASDAQ"
2019-07-10,41.62,41.95,41.28,41.33,19600,"CTBI","NASDAQ"
2019-07-11,41.09,41.47,41.01,41.28,13000,"CTBI","NASDAQ"
2019-07-12,41.27,42.13,41.2403,41.81,22300,"CTBI","NASDAQ"
2019-07-15,41.9061,41.91,40.45,40.79,29500,"CTBI","NASDAQ"
2019-07-16,40.65,41.6,40.54,41.33,18400,"CTBI","NASDAQ"
2019-07-17,42.56,42.56,40.46,40.52,36000,"CTBI","NASDAQ"
2019-07-18,40.9617,41.73,40.6,41.05,23900,"CTBI","NASDAQ"
2019-07-19,40.88,41.47,40.72,40.73,30500,"CTBI","NASDAQ"
2019-07-22,40.85,41.06,40.53,41.02,22900,"CTBI","NASDAQ"
2019-07-23,41.08,41.4,40.98,41.06,28600,"CTBI","NASDAQ"
2019-07-24,40.95,42.13,40.75,42.01,42100,"CTBI","NASDAQ"
2019-07-25,41.89,42.0905,41.61,41.66,24800,"CTBI","NASDAQ"
2019-07-26,41.62,42.58,41.62,42.15,26500,"CTBI","NASDAQ"
2019-07-29,42.24,42.38,41.52,41.53,37500,"CTBI","NASDAQ"
2019-07-30,41.47,42.83,41.47,42.59,36100,"CTBI","NASDAQ"
2019-07-31,42.31,42.94,42.22,42.29,44200,"CTBI","NASDAQ"
2019-08-01,42.29,42.75,41.23,41.24,36400,"CTBI","NASDAQ"
2019-08-02,41.11,41.33,40.5,41.15,37700,"CTBI","NASDAQ"
2019-08-05,40.58,40.88,39.33,39.97,33700,"CTBI","NASDAQ"
2019-08-06,40.06,40.2117,39.17,40.05,31000,"CTBI","NASDAQ"
2019-08-07,39.38,40.01,39.38,39.78,34000,"CTBI","NASDAQ"
2019-08-08,40,40.77,40,40.5,31400,"CTBI","NASDAQ"
2019-08-09,40.49,40.88,40.07,40.62,42700,"CTBI","NASDAQ"
2019-08-12,40.26,40.66,40.141,40.5,27800,"CTBI","NASDAQ"
2019-08-13,40.73,41.11,40.45,40.69,22300,"CTBI","NASDAQ"
2019-08-14,40.07,40.19,39.08,39.56,43300,"CTBI","NASDAQ"
2019-08-15,39.59,39.89,38.98,39.14,46400,"CTBI","NASDAQ"
2019-08-16,39.59,40.61,39.52,40.52,30800,"CTBI","NASDAQ"
2019-08-19,41.05,41.72,40.5,40.59,29900,"CTBI","NASDAQ"
2019-08-20,40.28,40.38,39.56,39.63,40100,"CTBI","NASDAQ"
2019-08-21,39.91,40.38,39.62,40.17,33200,"CTBI","NASDAQ"
2019-08-22,40.56,40.64,39.74,39.93,30100,"CTBI","NASDAQ"
2019-08-23,39.77,39.83,38.05,38.13,43900,"CTBI","NASDAQ"
2019-08-26,38.44,39.02,38.26,39.02,32400,"CTBI","NASDAQ"
2019-08-27,39.24,39.24,38.18,38.35,35400,"CTBI","NASDAQ"
2019-08-28,38.27,39.19,38.27,38.65,19500,"CTBI","NASDAQ"
2019-08-29,39.08,39.48,39.08,39.12,16700,"CTBI","NASDAQ"
2019-08-30,39.63,39.63,38.83,38.9,22500,"CTBI","NASDAQ"
2019-09-03,38.66,38.83,38.14,38.44,52200,"CTBI","NASDAQ"
2019-09-04,38.75,38.92,38.41,38.51,29700,"CTBI","NASDAQ"
2019-09-05,38.95,40.4,38.95,39.62,34900,"CTBI","NASDAQ"
2019-09-06,39.82,39.82,39.18,39.21,18600,"CTBI","NASDAQ"
2019-09-09,39.39,40.54,39.39,40.39,22600,"CTBI","NASDAQ"
2019-09-10,40.36,41.08,40.15,41.08,25900,"CTBI","NASDAQ"
2019-09-11,41.38,42.66,41.01,42.55,47000,"CTBI","NASDAQ"
2019-09-12,42.01,42.53,41.37,42.32,56300,"CTBI","NASDAQ"
2019-09-13,42.48,43.04,42.48,42.83,30100,"CTBI","NASDAQ"
2019-09-16,42.47,43.27,42.23,42.78,30400,"CTBI","NASDAQ"
2019-09-17,42.48,42.65,41.89,42.53,33200,"CTBI","NASDAQ"
2019-09-18,42.51,43.16,42.28,42.77,51400,"CTBI","NASDAQ"
2019-09-19,42.86,43.44,42.4,43.21,69500,"CTBI","NASDAQ"
2019-09-20,43.22,44.2,43.16,43.88,102900,"CTBI","NASDAQ"
2019-09-23,43.41,44.11,43.41,43.78,31500,"CTBI","NASDAQ"
2019-09-24,43.92,44.22,42.92,43.11,33400,"CTBI","NASDAQ"
2019-09-25,43.06,43.9,43.06,43.73,32000,"CTBI","NASDAQ"
2019-09-26,43.5,43.66,42.78,42.83,32400,"CTBI","NASDAQ"
2019-09-27,43,43.31,42.78,43,31100,"CTBI","NASDAQ"
2019-09-30,43,43.09,42.51,42.58,52000,"CTBI","NASDAQ"
2019-10-01,42.89,43.14,41.52,41.62,35700,"CTBI","NASDAQ"
2019-10-02,41.43,41.95,41.1,41.87,54600,"CTBI","NASDAQ"
2019-10-03,42.12,42.12,41.24,41.81,60500,"CTBI","NASDAQ"
2019-10-04,41.95,42.1,41.38,42.06,28100,"CTBI","NASDAQ"
2019-10-07,41.9,42.24,41.58,42.02,25100,"CTBI","NASDAQ"
2019-10-08,41.64,41.81,41.17,41.28,33900,"CTBI","NASDAQ"
2019-10-09,41.49,41.75,41.24,41.52,28700,"CTBI","NASDAQ"
2019-10-10,41.41,41.97,41.41,41.53,26300,"CTBI","NASDAQ"
2019-10-11,42.14,42.75,41.88,41.91,26400,"CTBI","NASDAQ"
2019-10-14,41.61,41.91,40.88,41.73,24500,"CTBI","NASDAQ"
2019-10-15,41.82,42.55,41.82,42.26,19300,"CTBI","NASDAQ"
2019-10-16,42.02,42.78,41.9,42.3,27300,"CTBI","NASDAQ"
2019-10-17,42.29,42.45,41.67,42.34,37700,"CTBI","NASDAQ"
2019-10-18,42.33,42.99,42.3,42.65,32979,"CTBI","NASDAQ"
