"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.7,3.79,3.357,3.55,27500,"CTRC","NASDAQ"
2019-05-31,3.59,3.65,3.43,3.52,18400,"CTRC","NASDAQ"
2019-06-03,3.54,3.56,3.24,3.32,15600,"CTRC","NASDAQ"
2019-06-04,3.32,3.501,3.17,3.2,22500,"CTRC","NASDAQ"
2019-06-05,3.24,3.3,3.16,3.21,15800,"CTRC","NASDAQ"
2019-06-06,3.18,3.28,3.11,3.13,18700,"CTRC","NASDAQ"
2019-06-07,3.15,3.4,3.1199,3.13,18500,"CTRC","NASDAQ"
2019-06-10,3.17,3.65,3.146,3.61,55300,"CTRC","NASDAQ"
2019-06-11,3.69,3.79,3.456,3.73,64100,"CTRC","NASDAQ"
2019-06-12,3.72,3.85,3.7,3.81,60800,"CTRC","NASDAQ"
2019-06-13,3.84,4.158,3.84,4.01,82100,"CTRC","NASDAQ"
2019-06-14,4.0211,4.04,3.715,4.02,41500,"CTRC","NASDAQ"
2019-06-17,3.824,4.05,3.208,4.03,55500,"CTRC","NASDAQ"
2019-06-18,4.05,4.18,4.03,4.17,37100,"CTRC","NASDAQ"
2019-06-19,4.16,4.47,4.16,4.29,45600,"CTRC","NASDAQ"
2019-06-20,4.4,4.4,4.21,4.25,27800,"CTRC","NASDAQ"
2019-06-21,4.3,4.4,4.24,4.25,20500,"CTRC","NASDAQ"
2019-06-24,4.33,4.34,4.14,4.23,31700,"CTRC","NASDAQ"
2019-06-25,4.23,4.4,4.16,4.36,37900,"CTRC","NASDAQ"
2019-06-26,4.39,4.396,3.96,4.1,74300,"CTRC","NASDAQ"
2019-06-27,4.08,4.369,3.99,4.19,78200,"CTRC","NASDAQ"
2019-06-28,4.15,4.3802,3.875,4.11,1718700,"CTRC","NASDAQ"
2019-07-01,4.03,4.03,3.753,3.82,49400,"CTRC","NASDAQ"
2019-07-02,3.86,3.86,3.4,3.41,32400,"CTRC","NASDAQ"
2019-07-03,3.41,3.42,3.3,3.32,31700,"CTRC","NASDAQ"
2019-07-05,3.32,3.33,3.14,3.17,93500,"CTRC","NASDAQ"
2019-07-08,3.18,3.33,3.01,3.26,66000,"CTRC","NASDAQ"
2019-07-09,3.23,3.34,3.16,3.23,47700,"CTRC","NASDAQ"
2019-07-10,3.32,3.39,3.17,3.18,57700,"CTRC","NASDAQ"
2019-07-11,3.22,3.35,3.15,3.22,88800,"CTRC","NASDAQ"
2019-07-12,3.26,3.34,2.94,3.05,90800,"CTRC","NASDAQ"
2019-07-15,3.04,3.12,2.82,2.91,74700,"CTRC","NASDAQ"
2019-07-16,2.91,3,2.81,2.84,82100,"CTRC","NASDAQ"
2019-07-17,2.83,2.86,2.65,2.67,46100,"CTRC","NASDAQ"
2019-07-18,2.67,2.84,2.65,2.74,58000,"CTRC","NASDAQ"
2019-07-19,2.72,2.73,2.57,2.6,67500,"CTRC","NASDAQ"
2019-07-22,2.58,2.7201,2.46,2.7,68100,"CTRC","NASDAQ"
2019-07-23,2.7,2.94,2.43,2.87,34800,"CTRC","NASDAQ"
2019-07-24,3,3,2.71,2.74,20400,"CTRC","NASDAQ"
2019-07-25,2.77,2.9,2.51,2.82,20400,"CTRC","NASDAQ"
2019-07-26,2.8,2.99,2.7,2.71,18800,"CTRC","NASDAQ"
2019-07-29,2.78,2.82,2.61,2.73,21700,"CTRC","NASDAQ"
2019-07-30,2.74,2.94,2.64,2.66,41000,"CTRC","NASDAQ"
2019-07-31,2.68,2.89,2.61,2.7,48200,"CTRC","NASDAQ"
2019-08-01,2.72,2.84,2.7201,2.77,64000,"CTRC","NASDAQ"
2019-08-02,2.73,3,2.7,2.81,154300,"CTRC","NASDAQ"
2019-08-05,2.75,2.7602,2.58,2.69,35000,"CTRC","NASDAQ"
2019-08-06,2.69,2.82,2.61,2.75,16500,"CTRC","NASDAQ"
2019-08-07,2.7,2.97,2.61,2.86,32400,"CTRC","NASDAQ"
2019-08-08,2.89,2.97,2.74,2.85,70100,"CTRC","NASDAQ"
2019-08-09,2.83,2.86,2.7,2.78,22300,"CTRC","NASDAQ"
2019-08-12,2.7399,2.83,2.56,2.68,27000,"CTRC","NASDAQ"
2019-08-13,2.66,2.86,2.57,2.86,23700,"CTRC","NASDAQ"
2019-08-14,2.8,2.8,2.65,2.7,25300,"CTRC","NASDAQ"
2019-08-15,2.8,3.31,2.56,2.67,38500,"CTRC","NASDAQ"
2019-08-16,2.71,2.8,2.7,2.77,18300,"CTRC","NASDAQ"
2019-08-19,2.8,2.89,2.68,2.83,24000,"CTRC","NASDAQ"
2019-08-20,2.7,2.93,2.7,2.79,22000,"CTRC","NASDAQ"
2019-08-21,2.75,2.83,2.75,2.79,27400,"CTRC","NASDAQ"
2019-08-22,2.78,3.13,2.78,3,34600,"CTRC","NASDAQ"
2019-08-23,2.84,2.9,2.73,2.81,34700,"CTRC","NASDAQ"
2019-08-26,2.87,2.9,2.77,2.78,26800,"CTRC","NASDAQ"
2019-08-27,2.82,2.82,2.56,2.59,34800,"CTRC","NASDAQ"
2019-08-28,2.5,2.58,2.4,2.56,32000,"CTRC","NASDAQ"
2019-08-29,2.57,3,2.57,2.84,33200,"CTRC","NASDAQ"
2019-08-30,2.83,2.97,2.74,2.77,9600,"CTRC","NASDAQ"
2019-09-03,2.7,2.82,2.56,2.62,6200,"CTRC","NASDAQ"
2019-09-04,2.69,2.84,2.66,2.75,18200,"CTRC","NASDAQ"
2019-09-05,2.81,2.99,2.51,2.84,25400,"CTRC","NASDAQ"
2019-09-06,2.85,2.85,2.78,2.82,16200,"CTRC","NASDAQ"
2019-09-09,2.95,3,2.71,2.85,34300,"CTRC","NASDAQ"
2019-09-10,2.78,2.97,2.66,2.69,27000,"CTRC","NASDAQ"
2019-09-11,2.74,2.93,2.72,2.83,30100,"CTRC","NASDAQ"
2019-09-12,2.81,2.85,2.73,2.84,28600,"CTRC","NASDAQ"
2019-09-13,2.89,2.98,2.69,2.69,27000,"CTRC","NASDAQ"
2019-09-16,2.65,2.78,2.65,2.69,20000,"CTRC","NASDAQ"
2019-09-17,2.7,2.74,2.58,2.62,24900,"CTRC","NASDAQ"
2019-09-18,2.65,2.65,2.5,2.51,25300,"CTRC","NASDAQ"
2019-09-19,2.56,2.56,2.39,2.5,32400,"CTRC","NASDAQ"
2019-09-20,2.5,2.5,2.3,2.41,90300,"CTRC","NASDAQ"
2019-09-23,2.42,2.44,2.31,2.36,9400,"CTRC","NASDAQ"
2019-09-24,2.33,2.36,2.3,2.33,26800,"CTRC","NASDAQ"
2019-09-25,2.33,2.7,2.3,2.63,27400,"CTRC","NASDAQ"
2019-09-26,2.66,2.72,2.48,2.56,13100,"CTRC","NASDAQ"
2019-09-27,2.44,2.55,2.44,2.44,7000,"CTRC","NASDAQ"
2019-09-30,2.48,2.6,2.48,2.51,42900,"CTRC","NASDAQ"
2019-10-01,2.51,2.61,2.44,2.46,71600,"CTRC","NASDAQ"
2019-10-02,2.47,2.5,2.39,2.4,13000,"CTRC","NASDAQ"
2019-10-03,2.37,2.55,2.2,2.51,11500,"CTRC","NASDAQ"
2019-10-04,2.55,2.58,2.43,2.45,21000,"CTRC","NASDAQ"
2019-10-07,2.41,2.49,2.34,2.38,22400,"CTRC","NASDAQ"
2019-10-08,2.31,2.4,2.18,2.26,41100,"CTRC","NASDAQ"
2019-10-09,2.43,2.43,2.19,2.25,12200,"CTRC","NASDAQ"
2019-10-10,2.29,2.43,2.25,2.36,15400,"CTRC","NASDAQ"
2019-10-11,2.42,2.7,2.39,2.67,37200,"CTRC","NASDAQ"
2019-10-14,2.63,2.75,2.45,2.49,24700,"CTRC","NASDAQ"
2019-10-15,2.75,2.75,2.45,2.51,12200,"CTRC","NASDAQ"
2019-10-16,2.47,2.6,2.47,2.5,10200,"CTRC","NASDAQ"
2019-10-17,2.5,2.53,2.46,2.48,22100,"CTRC","NASDAQ"
