"times","open","high","low","close","volume","symbol","market"
2019-05-30,24.52,24.71,24.375,24.48,1032800,"CTRE","NASDAQ"
2019-05-31,24.07,24.45,23.8,24.31,996700,"CTRE","NASDAQ"
2019-06-03,24.34,24.43,23.9979,24.23,935700,"CTRE","NASDAQ"
2019-06-04,24.23,24.34,23.274,23.62,1090000,"CTRE","NASDAQ"
2019-06-05,23.76,24.29,23.65,24.28,964800,"CTRE","NASDAQ"
2019-06-06,24.27,24.37,23.95,24.1,776700,"CTRE","NASDAQ"
2019-06-07,24.26,24.35,24.02,24.19,1119100,"CTRE","NASDAQ"
2019-06-10,24.19,24.286,23.99,24.02,400500,"CTRE","NASDAQ"
2019-06-11,24.07,24.17,23.7,24.06,508700,"CTRE","NASDAQ"
2019-06-12,24.04,24.36,23.93,24.29,752100,"CTRE","NASDAQ"
2019-06-13,24.38,24.49,24.14,24.36,435800,"CTRE","NASDAQ"
2019-06-14,24.33,24.59,24.26,24.36,595600,"CTRE","NASDAQ"
2019-06-17,24.35,24.88,24.35,24.67,634900,"CTRE","NASDAQ"
2019-06-18,24.87,24.99,24.49,24.64,496700,"CTRE","NASDAQ"
2019-06-19,24.56,25.06,24.2391,25,895200,"CTRE","NASDAQ"
2019-06-20,25.16,25.3,24.96,25.01,1156700,"CTRE","NASDAQ"
2019-06-21,24.93,24.93,24.44,24.67,1420400,"CTRE","NASDAQ"
2019-06-24,24.82,24.83,24.535,24.66,800400,"CTRE","NASDAQ"
2019-06-25,24.76,24.93,24.21,24.28,614100,"CTRE","NASDAQ"
2019-06-26,24.21,24.33,23.29,23.3,961600,"CTRE","NASDAQ"
2019-06-27,23.15,23.65,23.12,23.64,593100,"CTRE","NASDAQ"
2019-06-28,23.64,24.33,23.55,23.78,4766800,"CTRE","NASDAQ"
2019-07-01,24.01,24.1,22.8,23.41,1365300,"CTRE","NASDAQ"
2019-07-02,23.5328,24.33,23.47,24.25,957600,"CTRE","NASDAQ"
2019-07-03,24.25,24.645,24.25,24.45,432700,"CTRE","NASDAQ"
2019-07-05,24.27,24.39,23.7519,24.25,802900,"CTRE","NASDAQ"
2019-07-08,24.18,24.64,24.18,24.54,530400,"CTRE","NASDAQ"
2019-07-09,24.53,24.64,24.11,24.38,1173200,"CTRE","NASDAQ"
2019-07-10,24.42,24.6,24.25,24.47,643700,"CTRE","NASDAQ"
2019-07-11,24.44,24.5,24.06,24.13,1268800,"CTRE","NASDAQ"
2019-07-12,24.17,24.27,23.93,24.07,747500,"CTRE","NASDAQ"
2019-07-15,24.05,24.14,23.755,23.82,607700,"CTRE","NASDAQ"
2019-07-16,23.64,24.0016,23.57,23.82,512500,"CTRE","NASDAQ"
2019-07-17,23.93,24.02,23.585,23.74,521200,"CTRE","NASDAQ"
2019-07-18,23.64,23.93,23.5218,23.77,411200,"CTRE","NASDAQ"
2019-07-19,23.7005,23.79,23.07,23.16,567100,"CTRE","NASDAQ"
2019-07-22,23.26,23.32,22.98,23.06,600200,"CTRE","NASDAQ"
2019-07-23,23.1602,23.49,22.98,23.43,688000,"CTRE","NASDAQ"
2019-07-24,23.47,23.545,23.14,23.47,514600,"CTRE","NASDAQ"
2019-07-25,23.43,23.43,23.02,23.14,406000,"CTRE","NASDAQ"
2019-07-26,23.19,23.41,23.1,23.33,533700,"CTRE","NASDAQ"
2019-07-29,23.35,23.51,23.19,23.26,472000,"CTRE","NASDAQ"
2019-07-30,23.23,23.57,23.23,23.46,450800,"CTRE","NASDAQ"
2019-07-31,23.49,23.62,23.07,23.23,804400,"CTRE","NASDAQ"
2019-08-01,23.2,23.43,22.98,23.08,754000,"CTRE","NASDAQ"
2019-08-02,23.08,23.25,22.91,23.15,521000,"CTRE","NASDAQ"
2019-08-05,23,23.0003,22.13,22.67,874400,"CTRE","NASDAQ"
2019-08-06,22.53,23.12,22.53,22.88,656700,"CTRE","NASDAQ"
2019-08-07,21.95,22.7,20.57,22.5,2306500,"CTRE","NASDAQ"
2019-08-08,22.49,22.78,22.37,22.64,1075300,"CTRE","NASDAQ"
2019-08-09,22.6,22.71,22.37,22.55,848600,"CTRE","NASDAQ"
2019-08-12,22.55,23.19,22.55,22.82,1322300,"CTRE","NASDAQ"
2019-08-13,22.88,22.98,22.61,22.8,618200,"CTRE","NASDAQ"
2019-08-14,22.76,22.8,22.39,22.48,691600,"CTRE","NASDAQ"
2019-08-15,22.55,22.985,22.52,22.93,1294200,"CTRE","NASDAQ"
2019-08-16,23.01,23.465,22.9,23.28,894200,"CTRE","NASDAQ"
2019-08-19,23.36,23.49,23.17,23.42,776800,"CTRE","NASDAQ"
2019-08-20,23.48,23.62,23.32,23.46,653000,"CTRE","NASDAQ"
2019-08-21,23.8,23.98,23.54,23.78,726200,"CTRE","NASDAQ"
2019-08-22,23.8,24.195,23.71,23.97,590800,"CTRE","NASDAQ"
2019-08-23,24,24.22,23.64,23.72,870500,"CTRE","NASDAQ"
2019-08-26,23.84,23.99,23.66,23.84,652400,"CTRE","NASDAQ"
2019-08-27,24.01,24.28,23.74,23.78,889000,"CTRE","NASDAQ"
2019-08-28,23.66,23.85,23.34,23.4,963000,"CTRE","NASDAQ"
2019-08-29,23.44,23.95,23.29,23.93,572600,"CTRE","NASDAQ"
2019-08-30,23.88,23.9,23.519,23.79,642800,"CTRE","NASDAQ"
2019-09-03,24.29,24.47,23.94,24.04,660800,"CTRE","NASDAQ"
2019-09-04,24.13,24.28,23.96,24.1,477300,"CTRE","NASDAQ"
2019-09-05,24.05,24.31,23.77,24.11,1071100,"CTRE","NASDAQ"
2019-09-06,24.11,24.28,23.96,24.22,524100,"CTRE","NASDAQ"
2019-09-09,24.14,24.19,23.73,24.1,1063100,"CTRE","NASDAQ"
2019-09-10,23.97,23.97,22.795,22.93,1000900,"CTRE","NASDAQ"
2019-09-11,22.81,23.4,22.71,23.4,781900,"CTRE","NASDAQ"
2019-09-12,23.59,23.83,23.05,23.13,1582700,"CTRE","NASDAQ"
2019-09-13,23.14,23.65,22.82,22.85,810600,"CTRE","NASDAQ"
2019-09-16,22.77,23.19,22.77,22.97,928300,"CTRE","NASDAQ"
2019-09-17,22.64,23.57,22.512,23.35,651000,"CTRE","NASDAQ"
2019-09-18,23.43,23.53,23.08,23.41,580600,"CTRE","NASDAQ"
2019-09-19,23.39,23.67,23.25,23.3,779000,"CTRE","NASDAQ"
2019-09-20,23.28,23.89,23.04,23.16,1595900,"CTRE","NASDAQ"
2019-09-23,23.2,23.43,23.09,23.255,658800,"CTRE","NASDAQ"
2019-09-24,23.38,23.46,23.1,23.15,749500,"CTRE","NASDAQ"
2019-09-25,23.16,23.45,23.05,23.36,834500,"CTRE","NASDAQ"
2019-09-26,23.44,23.65,23.14,23.57,581900,"CTRE","NASDAQ"
2019-09-27,23.46,23.69,23.26,23.52,958200,"CTRE","NASDAQ"
2019-09-30,23.53,23.73,23.35,23.505,688800,"CTRE","NASDAQ"
2019-10-01,23.42,23.52,22.88,22.94,626200,"CTRE","NASDAQ"
2019-10-02,22.96,23.15,22.84,22.91,478300,"CTRE","NASDAQ"
2019-10-03,22.97,23.35,22.83,23.25,512600,"CTRE","NASDAQ"
2019-10-04,23.31,23.64,23.23,23.63,479200,"CTRE","NASDAQ"
2019-10-07,23.57,23.88,23.51,23.7,748100,"CTRE","NASDAQ"
2019-10-08,23.69,23.97,23.53,23.86,565000,"CTRE","NASDAQ"
2019-10-09,23.91,24.03,23.74,23.83,509700,"CTRE","NASDAQ"
2019-10-10,23.91,23.91,23.63,23.66,440800,"CTRE","NASDAQ"
2019-10-11,23.72,23.86,23.5,23.55,428100,"CTRE","NASDAQ"
2019-10-14,23.42,23.64,23.34,23.57,442700,"CTRE","NASDAQ"
2019-10-15,23.63,23.74,23.38,23.47,624200,"CTRE","NASDAQ"
2019-10-16,23.42,23.495,23.25,23.41,393800,"CTRE","NASDAQ"
2019-10-17,23.46,23.86,23.44,23.84,342300,"CTRE","NASDAQ"
2019-10-18,23.75,24.12,23.7,24.035,414695,"CTRE","NASDAQ"
