"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.36,8.66,8.36,8.52,29100,"CUE","NASDAQ"
2019-05-31,8.4906,8.98,8.18,8.26,54900,"CUE","NASDAQ"
2019-06-03,8.27,8.7,7.89,8.09,42600,"CUE","NASDAQ"
2019-06-04,8.18,8.18,7.71,7.82,39900,"CUE","NASDAQ"
2019-06-05,7.7,7.74,7.04,7.35,63600,"CUE","NASDAQ"
2019-06-06,7.35,7.6498,6.789,7.18,80200,"CUE","NASDAQ"
2019-06-07,7.2,7.55,7.136,7.47,47200,"CUE","NASDAQ"
2019-06-10,7.51,8.635,7.51,8.5,87200,"CUE","NASDAQ"
2019-06-11,8.55,8.7,8.14,8.24,43100,"CUE","NASDAQ"
2019-06-12,8.25,8.64,8.25,8.6,27100,"CUE","NASDAQ"
2019-06-13,8.65,8.8,8.35,8.48,58000,"CUE","NASDAQ"
2019-06-14,8.47,8.47,7.95,8,67200,"CUE","NASDAQ"
2019-06-17,8.01,8.0095,7.77,7.92,43500,"CUE","NASDAQ"
2019-06-18,7.96,8,7.2,7.25,83400,"CUE","NASDAQ"
2019-06-19,7.21,7.46,7.07,7.18,82700,"CUE","NASDAQ"
2019-06-20,7.24,7.715,7.186,7.42,560900,"CUE","NASDAQ"
2019-06-21,7.38,7.58,7.2,7.5,151300,"CUE","NASDAQ"
2019-06-24,7.62,8.0601,7.592,7.9,42300,"CUE","NASDAQ"
2019-06-25,7.98,8.055,7.76,7.95,51500,"CUE","NASDAQ"
2019-06-26,7.99,8.12,7.67,7.74,24400,"CUE","NASDAQ"
2019-06-27,7.73,8.135,7.64,7.75,77000,"CUE","NASDAQ"
2019-06-28,7.77,9,7.77,8.99,291700,"CUE","NASDAQ"
2019-07-01,8.5601,8.9,8.17,8.85,71500,"CUE","NASDAQ"
2019-07-02,8.79,8.88,8.56,8.58,41800,"CUE","NASDAQ"
2019-07-03,8.5,8.51,8,8.01,49200,"CUE","NASDAQ"
2019-07-05,8,8.19,7.86,8.04,42000,"CUE","NASDAQ"
2019-07-08,8.01,8.2,7.5596,7.82,715900,"CUE","NASDAQ"
2019-07-09,7.79,7.917,7.57,7.76,45400,"CUE","NASDAQ"
2019-07-10,7.75,7.875,7.28,7.28,98400,"CUE","NASDAQ"
2019-07-11,7.28,7.4003,6.72,6.93,96000,"CUE","NASDAQ"
2019-07-12,6.94,7.083,6.75,6.78,103600,"CUE","NASDAQ"
2019-07-15,6.7902,7.065,6.54,6.95,51200,"CUE","NASDAQ"
2019-07-16,7.295,7.3101,6.96,7.12,45000,"CUE","NASDAQ"
2019-07-17,7.11,7.405,7.04,7.25,31200,"CUE","NASDAQ"
2019-07-18,7.25,7.45,7.247,7.43,25900,"CUE","NASDAQ"
2019-07-19,7.36,7.85,7.36,7.55,340800,"CUE","NASDAQ"
2019-07-22,7.54,7.74,7.05,7.14,68100,"CUE","NASDAQ"
2019-07-23,7.16,7.16,6.85,6.89,64200,"CUE","NASDAQ"
2019-07-24,6.86,7,6.79,6.94,36700,"CUE","NASDAQ"
2019-07-25,6.91,6.96,6.74,6.84,57900,"CUE","NASDAQ"
2019-07-26,7.02,7.57,6.85,7.4,102100,"CUE","NASDAQ"
2019-07-29,7.41,7.62,7.27,7.36,220000,"CUE","NASDAQ"
2019-07-30,7.3003,8,7.3,7.77,220100,"CUE","NASDAQ"
2019-07-31,7.78,8.4,7.78,8.31,88100,"CUE","NASDAQ"
2019-08-01,8.36,8.67,8.11,8.19,83200,"CUE","NASDAQ"
2019-08-02,8.2,8.45,8.01,8.17,76900,"CUE","NASDAQ"
2019-08-05,8.05,8.05,7.51,7.75,129800,"CUE","NASDAQ"
2019-08-06,7.81,8.06,7.69,7.95,42300,"CUE","NASDAQ"
2019-08-07,7.82,8.19,7.39,7.71,95400,"CUE","NASDAQ"
2019-08-08,7.78,8.3707,7.77,8.21,51200,"CUE","NASDAQ"
2019-08-09,8.06,8.42,7.79,7.81,77000,"CUE","NASDAQ"
2019-08-12,7.9,8.03,7.67,7.89,75600,"CUE","NASDAQ"
2019-08-13,7.88,8.39,7.78,8.29,37500,"CUE","NASDAQ"
2019-08-14,8.14,8.23,7.58,7.58,50000,"CUE","NASDAQ"
2019-08-15,7.66,7.77,7.466,7.56,54700,"CUE","NASDAQ"
2019-08-16,7.6,8.26,7.538,7.99,26000,"CUE","NASDAQ"
2019-08-19,7.99,8.35,7.9,8.27,34200,"CUE","NASDAQ"
2019-08-20,8.29,8.29,7.92,8,40000,"CUE","NASDAQ"
2019-08-21,8.13,8.43,8,8.2,105000,"CUE","NASDAQ"
2019-08-22,8.28,8.28,8.07,8.07,27500,"CUE","NASDAQ"
2019-08-23,8,8.02,7.36,7.55,74400,"CUE","NASDAQ"
2019-08-26,7.68,7.75,7.453,7.7,16400,"CUE","NASDAQ"
2019-08-27,7.79,8.02,7.4,7.51,49400,"CUE","NASDAQ"
2019-08-28,7.48,7.94,7.35,7.79,28100,"CUE","NASDAQ"
2019-08-29,7.93,8.2,7.9,8.02,41300,"CUE","NASDAQ"
2019-08-30,8.02,8.25,7.95,8.19,42200,"CUE","NASDAQ"
2019-09-03,8.09,8.36,8.04,8.17,61800,"CUE","NASDAQ"
2019-09-04,8.28,8.28,7.9,7.94,20400,"CUE","NASDAQ"
2019-09-05,8.09,8.28,7.915,8.19,36900,"CUE","NASDAQ"
2019-09-06,8.21,8.41,8.155,8.2,39600,"CUE","NASDAQ"
2019-09-09,8.1,8.37,8.09,8.26,40300,"CUE","NASDAQ"
2019-09-10,8.31,8.51,8.18,8.48,191100,"CUE","NASDAQ"
2019-09-11,8.53,8.77,8.46,8.68,75000,"CUE","NASDAQ"
2019-09-12,8.71,8.85,8.53,8.79,52200,"CUE","NASDAQ"
2019-09-13,8.83,8.93,8.55,8.87,361200,"CUE","NASDAQ"
2019-09-16,8.82,9.035,8.67,8.9,78200,"CUE","NASDAQ"
2019-09-17,8.88,9.4,8.809,9.28,73900,"CUE","NASDAQ"
2019-09-18,9.29,9.36,8.73,8.8,121800,"CUE","NASDAQ"
2019-09-19,8.85,9.18,8.78,8.82,100600,"CUE","NASDAQ"
2019-09-20,8.72,9.04,8.51,8.75,324300,"CUE","NASDAQ"
2019-09-23,8.75,9.05,8.685,8.8,60000,"CUE","NASDAQ"
2019-09-24,8.83,8.86,8.63,8.76,76400,"CUE","NASDAQ"
2019-09-25,8.89,9.12,8.54,9.095,47100,"CUE","NASDAQ"
2019-09-26,9.06,9.16,8.82,8.925,45600,"CUE","NASDAQ"
2019-09-27,8.93,9.15,8.69,8.87,72300,"CUE","NASDAQ"
2019-09-30,8.989,9.04,8.42,8.43,41300,"CUE","NASDAQ"
2019-10-01,8.48,8.49,7.26,7.29,117400,"CUE","NASDAQ"
2019-10-02,7.25,7.81,7.1,7.74,149400,"CUE","NASDAQ"
2019-10-03,7.66,7.74,7.32,7.53,60600,"CUE","NASDAQ"
2019-10-04,7.53,7.85,7.389,7.72,56700,"CUE","NASDAQ"
2019-10-07,7.74,7.94,7.62,7.71,31700,"CUE","NASDAQ"
2019-10-08,7.6,7.65,7.47,7.5,102300,"CUE","NASDAQ"
2019-10-09,7.52,7.76,7.5,7.71,67900,"CUE","NASDAQ"
2019-10-10,7.77,7.87,7.49,7.54,90100,"CUE","NASDAQ"
2019-10-11,7.66,7.76,7.34,7.41,73000,"CUE","NASDAQ"
2019-10-14,7.33,7.43,7.02,7.06,37500,"CUE","NASDAQ"
2019-10-15,7.1,7.47,6.95,7.33,71700,"CUE","NASDAQ"
2019-10-16,7.33,7.465,7.15,7.24,42200,"CUE","NASDAQ"
2019-10-17,7.23,7.365,7.05,7.23,69900,"CUE","NASDAQ"
2019-10-18,7.17,7.25,7.01,7.12,30386,"CUE","NASDAQ"
