"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.994,1.07,0.967,1.045,605700,"CUI","NASDAQ"
2019-05-31,1.08,1.09,1.02,1.05,504200,"CUI","NASDAQ"
2019-06-03,1.07,1.13,1.05,1.08,372600,"CUI","NASDAQ"
2019-06-04,1.08,1.08,0.964,1,228800,"CUI","NASDAQ"
2019-06-05,1,1.0389,0.965,0.98,130900,"CUI","NASDAQ"
2019-06-06,1.01,1.02,0.77,0.84,840100,"CUI","NASDAQ"
2019-06-07,0.84,0.881,0.81,0.86,216000,"CUI","NASDAQ"
2019-06-10,0.9,0.938,0.846,0.92,71100,"CUI","NASDAQ"
2019-06-11,0.851,0.965,0.851,0.9,39200,"CUI","NASDAQ"
2019-06-12,0.89,0.938,0.85,0.9,59700,"CUI","NASDAQ"
2019-06-13,0.906,0.96,0.9,0.95,146600,"CUI","NASDAQ"
2019-06-14,0.93,0.955,0.9,0.93,33100,"CUI","NASDAQ"
2019-06-17,0.9,0.939,0.9,0.915,60300,"CUI","NASDAQ"
2019-06-18,0.93,0.93,0.89,0.895,109200,"CUI","NASDAQ"
2019-06-19,0.895,0.895,0.815,0.849,218200,"CUI","NASDAQ"
2019-06-20,0.87,0.924,0.832,0.924,104100,"CUI","NASDAQ"
2019-06-21,0.93,0.93,0.86,0.927,35300,"CUI","NASDAQ"
2019-06-24,0.833,0.93,0.83,0.86,67500,"CUI","NASDAQ"
2019-06-25,0.868,0.92,0.868,0.885,27100,"CUI","NASDAQ"
2019-06-26,0.91,0.91,0.85,0.857,91300,"CUI","NASDAQ"
2019-06-27,0.88,0.9,0.845,0.865,47200,"CUI","NASDAQ"
2019-06-28,0.84,0.894,0.822,0.822,62100,"CUI","NASDAQ"
2019-07-01,0.83,0.92,0.825,0.91,36800,"CUI","NASDAQ"
2019-07-02,0.875,0.91,0.87,0.899,11100,"CUI","NASDAQ"
2019-07-03,0.899,0.91,0.88,0.9,26900,"CUI","NASDAQ"
2019-07-05,0.888,0.9,0.88,0.88,24900,"CUI","NASDAQ"
2019-07-08,0.906,0.92,0.9,0.905,84200,"CUI","NASDAQ"
2019-07-09,0.84,0.9199,0.82,0.84,105800,"CUI","NASDAQ"
2019-07-10,0.85,0.879,0.82,0.85,32800,"CUI","NASDAQ"
2019-07-11,0.879,0.92,0.84,0.869,95400,"CUI","NASDAQ"
2019-07-12,0.877,0.877,0.82,0.82,90800,"CUI","NASDAQ"
2019-07-15,0.85,0.85,0.82,0.825,103100,"CUI","NASDAQ"
2019-07-16,0.81,0.857,0.81,0.825,62800,"CUI","NASDAQ"
2019-07-17,0.811,0.84,0.79,0.79,75200,"CUI","NASDAQ"
2019-07-18,0.8,0.81,0.78,0.785,134000,"CUI","NASDAQ"
2019-07-19,0.84,0.84,0.78,0.782,43600,"CUI","NASDAQ"
2019-07-22,0.89,0.9,0.8,0.801,651200,"CUI","NASDAQ"
2019-07-23,0.8,0.8,0.78,0.785,59100,"CUI","NASDAQ"
2019-07-24,0.785,0.8,0.785,0.785,41800,"CUI","NASDAQ"
2019-07-25,0.785,0.8,0.77,0.775,47700,"CUI","NASDAQ"
2019-07-26,0.775,0.8,0.775,0.78,69700,"CUI","NASDAQ"
2019-07-29,0.775,0.8,0.75,0.75,66600,"CUI","NASDAQ"
2019-07-30,0.766,0.78,0.76,0.766,47600,"CUI","NASDAQ"
2019-07-31,0.77,0.78,0.75,0.75,61500,"CUI","NASDAQ"
2019-08-01,0.753,0.78,0.753,0.76,18700,"CUI","NASDAQ"
2019-08-02,0.78,0.78,0.76,0.765,23900,"CUI","NASDAQ"
2019-08-05,0.775,0.775,0.755,0.755,19200,"CUI","NASDAQ"
2019-08-06,0.77,0.8,0.76,0.779,79100,"CUI","NASDAQ"
2019-08-07,0.724,0.77,0.72,0.75,25200,"CUI","NASDAQ"
2019-08-08,0.73,0.75,0.73,0.73,52900,"CUI","NASDAQ"
2019-08-09,0.73,0.74,0.633,0.67,200400,"CUI","NASDAQ"
2019-08-12,0.68,0.7,0.633,0.66,48200,"CUI","NASDAQ"
2019-08-13,0.685,0.685,0.633,0.68,49600,"CUI","NASDAQ"
2019-08-14,0.67,0.68,0.64,0.65,48700,"CUI","NASDAQ"
2019-08-15,0.64,0.73,0.64,0.71,33700,"CUI","NASDAQ"
2019-08-16,0.68,0.783,0.68,0.783,38700,"CUI","NASDAQ"
2019-08-19,0.8,0.8,0.72,0.74,90800,"CUI","NASDAQ"
2019-08-20,0.74,0.797,0.74,0.78,37200,"CUI","NASDAQ"
2019-08-21,0.78,0.845,0.72,0.73,247400,"CUI","NASDAQ"
2019-08-22,0.729,0.777,0.725,0.731,44600,"CUI","NASDAQ"
2019-08-23,0.73,0.79,0.71,0.726,82100,"CUI","NASDAQ"
2019-08-26,0.72,0.75,0.71,0.71,17800,"CUI","NASDAQ"
2019-08-27,0.71,0.714,0.681,0.683,21500,"CUI","NASDAQ"
2019-08-28,0.685,0.7,0.516,0.6,362700,"CUI","NASDAQ"
2019-08-29,0.57,0.611,0.54,0.55,208800,"CUI","NASDAQ"
2019-08-30,0.56,0.6,0.503,0.529,301600,"CUI","NASDAQ"
2019-09-03,0.53,0.58,0.51,0.555,225700,"CUI","NASDAQ"
2019-09-04,0.54,0.59,0.52,0.55,100500,"CUI","NASDAQ"
2019-09-05,0.553,0.623,0.54,0.579,77000,"CUI","NASDAQ"
2019-09-06,0.603,0.69,0.59,0.67,114000,"CUI","NASDAQ"
2019-09-09,0.658,0.713,0.62,0.69,71300,"CUI","NASDAQ"
2019-09-10,0.647,0.74,0.632,0.74,74100,"CUI","NASDAQ"
2019-09-11,0.74,0.79,0.701,0.75,55400,"CUI","NASDAQ"
2019-09-12,0.71,0.79,0.66,0.79,83700,"CUI","NASDAQ"
2019-09-13,0.78,0.839,0.753,0.82,105400,"CUI","NASDAQ"
2019-09-16,0.79,0.82,0.743,0.76,19300,"CUI","NASDAQ"
2019-09-17,0.768,0.83,0.761,0.78,38300,"CUI","NASDAQ"
2019-09-18,0.82,0.84,0.82,0.832,21900,"CUI","NASDAQ"
2019-09-19,0.84,0.88,0.805,0.85,53700,"CUI","NASDAQ"
2019-09-20,0.863,0.897,0.76,0.897,65600,"CUI","NASDAQ"
2019-09-23,0.89,0.914,0.873,0.907,28300,"CUI","NASDAQ"
2019-09-24,0.9,0.9,0.81,0.885,19000,"CUI","NASDAQ"
2019-09-25,0.9,0.9,0.863,0.9,4900,"CUI","NASDAQ"
2019-09-26,0.9,0.9,0.8,0.8,25000,"CUI","NASDAQ"
2019-09-27,0.8,0.85,0.8,0.847,18600,"CUI","NASDAQ"
2019-09-30,0.847,0.85,0.8,0.845,25800,"CUI","NASDAQ"
2019-10-01,0.86,0.92,0.82,0.89,33600,"CUI","NASDAQ"
2019-10-02,0.893,0.94,0.886,0.89,16900,"CUI","NASDAQ"
2019-10-03,0.842,0.89,0.782,0.85,35000,"CUI","NASDAQ"
2019-10-04,0.814,0.88,0.814,0.847,27600,"CUI","NASDAQ"
2019-10-07,0.85,0.89,0.8,0.86,21500,"CUI","NASDAQ"
2019-10-08,0.89,0.89,0.762,0.86,19100,"CUI","NASDAQ"
2019-10-09,0.83,0.9,0.737,0.737,40100,"CUI","NASDAQ"
2019-10-10,0.8,0.8,0.72,0.75,33700,"CUI","NASDAQ"
2019-10-11,0.75,0.75,0.7,0.745,49900,"CUI","NASDAQ"
2019-10-14,0.7,0.803,0.7,0.735,175700,"CUI","NASDAQ"
2019-10-15,0.78,0.78,0.75,0.76,32600,"CUI","NASDAQ"
2019-10-16,0.77,0.85,0.722,0.768,15500,"CUI","NASDAQ"
2019-10-17,0.732,0.75,0.695,0.72,29200,"CUI","NASDAQ"
2019-10-18,0.7037,0.7478,0.69,0.6909,41130,"CUI","NASDAQ"
