"times","open","high","low","close","volume","symbol","market"
2019-05-30,17.2,17.56,17.01,17.21,86700,"CUTR","NASDAQ"
2019-05-31,16.95,17.18,16.56,16.85,96200,"CUTR","NASDAQ"
2019-06-03,16.85,16.89,16.2,16.65,133700,"CUTR","NASDAQ"
2019-06-04,16.9,17.21,16.55,17.07,83100,"CUTR","NASDAQ"
2019-06-05,17.3,17.38,16.97,17.19,54100,"CUTR","NASDAQ"
2019-06-06,17.08,17.44,16.95,17.39,44300,"CUTR","NASDAQ"
2019-06-07,17.49,17.61,17.09,17.22,61500,"CUTR","NASDAQ"
2019-06-10,17.23,17.48,16.6198,16.76,99100,"CUTR","NASDAQ"
2019-06-11,16.8611,16.95,16.28,16.68,66500,"CUTR","NASDAQ"
2019-06-12,16.5606,16.79,16.47,16.78,41900,"CUTR","NASDAQ"
2019-06-13,16.86,17.89,16.86,17.85,113300,"CUTR","NASDAQ"
2019-06-14,17.76,17.99,17.53,17.9,78400,"CUTR","NASDAQ"
2019-06-17,17.8209,18.51,17.39,18.45,102000,"CUTR","NASDAQ"
2019-06-18,18.58,19.58,18.56,19.25,98100,"CUTR","NASDAQ"
2019-06-19,19.27,20.23,19.0106,20.12,83300,"CUTR","NASDAQ"
2019-06-20,20.1,20.525,20.03,20.33,73600,"CUTR","NASDAQ"
2019-06-21,20.18,20.35,19.56,19.99,142200,"CUTR","NASDAQ"
2019-06-24,20.07,20.225,18.65,18.82,96500,"CUTR","NASDAQ"
2019-06-25,18.82,19.64,18.53,19.26,126800,"CUTR","NASDAQ"
2019-06-26,19.38,20.1105,19.04,19.47,66200,"CUTR","NASDAQ"
2019-06-27,19.47,19.98,19.47,19.97,100700,"CUTR","NASDAQ"
2019-06-28,20.08,20.91,20.028,20.78,185400,"CUTR","NASDAQ"
2019-07-01,21.2,21.3187,20.21,20.24,102200,"CUTR","NASDAQ"
2019-07-02,20.24,20.4,19.99,20.31,72100,"CUTR","NASDAQ"
2019-07-03,20.41,20.87,20.11,20.82,34700,"CUTR","NASDAQ"
2019-07-05,20.64,20.65,20.2,20.58,52100,"CUTR","NASDAQ"
2019-07-08,20.48,20.4788,19.78,20.19,45800,"CUTR","NASDAQ"
2019-07-09,21.01,21.87,20.81,21.81,278100,"CUTR","NASDAQ"
2019-07-10,21.99,23.55,21.99,23.46,174100,"CUTR","NASDAQ"
2019-07-11,23.55,23.98,23.19,23.89,88800,"CUTR","NASDAQ"
2019-07-12,23.8,23.91,23.15,23.76,109800,"CUTR","NASDAQ"
2019-07-15,23.89,25.33,23.58,24.69,164600,"CUTR","NASDAQ"
2019-07-16,24.69,25.69,24.6792,25.02,234700,"CUTR","NASDAQ"
2019-07-17,24.94,25.18,24.28,24.64,122600,"CUTR","NASDAQ"
2019-07-18,24.59,25.17,24.59,24.69,86700,"CUTR","NASDAQ"
2019-07-19,24.73,24.73,23.99,24.12,72000,"CUTR","NASDAQ"
2019-07-22,24.19,24.37,23.84,24.24,37400,"CUTR","NASDAQ"
2019-07-23,24.31,24.64,23.95,24.4,30100,"CUTR","NASDAQ"
2019-07-24,24.3,25.4214,24.01,25.31,72500,"CUTR","NASDAQ"
2019-07-25,25.29,25.33,24.37,24.62,99300,"CUTR","NASDAQ"
2019-07-26,24.61,25.6,24.61,25.55,52800,"CUTR","NASDAQ"
2019-07-29,25.4192,25.66,24.69,24.98,78700,"CUTR","NASDAQ"
2019-07-30,24.8,25.32,24.47,25.14,85800,"CUTR","NASDAQ"
2019-07-31,25.2,26.27,25.14,25.56,95400,"CUTR","NASDAQ"
2019-08-01,25.45,26.21,24.88,25.17,95200,"CUTR","NASDAQ"
2019-08-02,25.13,25.43,24.61,25.12,75800,"CUTR","NASDAQ"
2019-08-05,24.5,24.8,23.92,24.4,74900,"CUTR","NASDAQ"
2019-08-06,24.17,24.9,24.09,24.48,91900,"CUTR","NASDAQ"
2019-08-07,24,24.665,23.52,24.39,78700,"CUTR","NASDAQ"
