"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.98,20.051,19.61,19.64,17400,"CVCY","NASDAQ"
2019-05-31,19.45,19.79,19.2943,19.62,22100,"CVCY","NASDAQ"
2019-06-03,19.64,19.65,19.2096,19.4,21500,"CVCY","NASDAQ"
2019-06-04,19.41,19.79,19.41,19.76,11000,"CVCY","NASDAQ"
2019-06-05,19.64,19.94,19.5695,19.57,10400,"CVCY","NASDAQ"
2019-06-06,19.6,19.6,19.4,19.57,4400,"CVCY","NASDAQ"
2019-06-07,19.35,19.55,19.14,19.48,10600,"CVCY","NASDAQ"
2019-06-10,19.47,19.69,19.47,19.66,9600,"CVCY","NASDAQ"
2019-06-11,19.58,19.85,19.51,19.65,10500,"CVCY","NASDAQ"
2019-06-12,19.69,19.85,19.5,19.5,9300,"CVCY","NASDAQ"
2019-06-13,19.69,20,19.6,19.98,9100,"CVCY","NASDAQ"
2019-06-14,19.76,19.89,19.71,19.71,10400,"CVCY","NASDAQ"
2019-06-17,19.7,19.98,19.6692,19.86,7000,"CVCY","NASDAQ"
2019-06-18,19.89,20.48,19.89,20.06,8000,"CVCY","NASDAQ"
2019-06-19,20.03,20.39,19.89,20.3,8700,"CVCY","NASDAQ"
2019-06-20,20.3,20.3,19.66,19.84,4500,"CVCY","NASDAQ"
2019-06-21,19.7,20.38,19.62,20.38,37700,"CVCY","NASDAQ"
2019-06-24,20.14,20.15,19.77,19.8,24300,"CVCY","NASDAQ"
2019-06-25,19.8,19.87,19.5,19.81,58700,"CVCY","NASDAQ"
2019-06-26,19.53,20.24,19.53,20.1,18500,"CVCY","NASDAQ"
2019-06-27,19.86,20.36,19.86,20.36,17800,"CVCY","NASDAQ"
2019-06-28,20.39,21.48,20.35,21.47,127100,"CVCY","NASDAQ"
2019-07-01,21.34,21.4476,20.715,21.43,39500,"CVCY","NASDAQ"
2019-07-02,21.24,21.3193,20.55,21.13,9700,"CVCY","NASDAQ"
2019-07-03,21.11,21.11,20.695,20.92,4600,"CVCY","NASDAQ"
2019-07-05,20.92,21.24,20.81,21.1,10400,"CVCY","NASDAQ"
2019-07-08,20.98,21.1,20.75,20.93,9900,"CVCY","NASDAQ"
2019-07-09,20.81,21.04,20.81,20.95,14800,"CVCY","NASDAQ"
2019-07-10,21,21.04,20.7,20.71,20800,"CVCY","NASDAQ"
2019-07-11,20.71,20.84,20.58,20.84,10400,"CVCY","NASDAQ"
2019-07-12,20.7198,20.75,19.98,20.59,18400,"CVCY","NASDAQ"
2019-07-15,20.6,20.6,20.32,20.54,11000,"CVCY","NASDAQ"
2019-07-16,20.54,20.86,20.26,20.85,13300,"CVCY","NASDAQ"
2019-07-17,20.68,20.68,20.2401,20.31,8600,"CVCY","NASDAQ"
2019-07-18,20.45,20.69,20.44,20.5,10700,"CVCY","NASDAQ"
2019-07-19,20.35,20.63,20.33,20.42,13000,"CVCY","NASDAQ"
2019-07-22,20.89,21,20.61,20.98,8300,"CVCY","NASDAQ"
2019-07-23,20.86,21,20.81,21,7500,"CVCY","NASDAQ"
2019-07-24,20.97,21.5,20.93,21.31,33400,"CVCY","NASDAQ"
2019-07-25,21.5,21.5,21,21.02,15400,"CVCY","NASDAQ"
2019-07-26,21.04,21.25,21.04,21.06,17700,"CVCY","NASDAQ"
2019-07-29,20.93,21.25,20.73,20.75,24800,"CVCY","NASDAQ"
2019-07-30,20.84,21,20.77,20.82,26500,"CVCY","NASDAQ"
2019-07-31,20.99,21.14,20.73,20.73,28500,"CVCY","NASDAQ"
2019-08-01,20.679,20.99,20.55,20.55,17500,"CVCY","NASDAQ"
2019-08-02,20.36,20.53,20.21,20.21,10700,"CVCY","NASDAQ"
2019-08-05,20.08,20.48,19.7,19.7,14800,"CVCY","NASDAQ"
2019-08-06,19.87,20.11,19.72,20.01,18700,"CVCY","NASDAQ"
2019-08-07,19.8402,20.1,19.66,19.81,14000,"CVCY","NASDAQ"
2019-08-08,19.9699,20.456,19.97,20.15,17400,"CVCY","NASDAQ"
2019-08-09,20.15,20.4597,20.15,20.2,9300,"CVCY","NASDAQ"
2019-08-12,20.11,20.58,20.11,20.35,12100,"CVCY","NASDAQ"
2019-08-13,20.244,20.539,20.01,20.31,13000,"CVCY","NASDAQ"
2019-08-14,19.97,20.32,19.71,19.71,11000,"CVCY","NASDAQ"
2019-08-15,20.06,20.06,19.66,19.78,7300,"CVCY","NASDAQ"
2019-08-16,19.92,20.36,19.82,20.12,15000,"CVCY","NASDAQ"
2019-08-19,20.14,20.63,20.14,20.21,11400,"CVCY","NASDAQ"
2019-08-20,20.2,20.24,20.02,20.02,8200,"CVCY","NASDAQ"
2019-08-21,20.26,20.45,19.6,19.6,9400,"CVCY","NASDAQ"
2019-08-22,19.82,19.88,19.58,19.58,11800,"CVCY","NASDAQ"
2019-08-23,19.6,19.6,18.97,19,15100,"CVCY","NASDAQ"
2019-08-26,19.2,19.99,19.2,19.84,12300,"CVCY","NASDAQ"
2019-08-27,20.04,20.08,19.11,19.11,14900,"CVCY","NASDAQ"
2019-08-28,19.18,19.68,19.18,19.38,16300,"CVCY","NASDAQ"
2019-08-29,19.62,19.84,19.32,19.4,48100,"CVCY","NASDAQ"
2019-08-30,19.39,19.59,19.2,19.58,29300,"CVCY","NASDAQ"
2019-09-03,19.47,19.53,19.2,19.32,15100,"CVCY","NASDAQ"
2019-09-04,19.88,19.88,19.5,19.51,11300,"CVCY","NASDAQ"
2019-09-05,20.09,20.68,19.92,20.55,13100,"CVCY","NASDAQ"
2019-09-06,20.55,20.55,19.81,19.87,16600,"CVCY","NASDAQ"
2019-09-09,20.07,20.7,20.06,20.65,12000,"CVCY","NASDAQ"
2019-09-10,20.36,21.25,20.36,21.01,16000,"CVCY","NASDAQ"
2019-09-11,21.2,21.25,20.54,20.96,22300,"CVCY","NASDAQ"
2019-09-12,20.9,21.45,20.75,21.3,26500,"CVCY","NASDAQ"
2019-09-13,21.42,21.56,21.09,21.3,48200,"CVCY","NASDAQ"
2019-09-16,20.81,21.52,20.81,21.46,18500,"CVCY","NASDAQ"
2019-09-17,21.38,21.5,21.2,21.21,16700,"CVCY","NASDAQ"
2019-09-18,21.32,21.41,21.04,21.15,19900,"CVCY","NASDAQ"
2019-09-19,20.82,21.37,20.57,20.64,20900,"CVCY","NASDAQ"
2019-09-20,20.55,21.52,20.55,21.52,92800,"CVCY","NASDAQ"
2019-09-23,19.03,21.75,19.03,21.55,26500,"CVCY","NASDAQ"
2019-09-24,21.43,21.51,20.5,20.73,18500,"CVCY","NASDAQ"
2019-09-25,20.6,20.93,20.52,20.71,26500,"CVCY","NASDAQ"
2019-09-26,20.62,20.88,20.49,20.58,13200,"CVCY","NASDAQ"
2019-09-27,20.7,20.8,19.92,20.17,24700,"CVCY","NASDAQ"
2019-09-30,20.16,20.82,20.16,20.35,14200,"CVCY","NASDAQ"
2019-10-01,20.51,20.51,20.03,20.03,16000,"CVCY","NASDAQ"
2019-10-02,19.88,20.26,19.79,19.93,15500,"CVCY","NASDAQ"
2019-10-03,19.92,20.12,19.24,19.82,23000,"CVCY","NASDAQ"
2019-10-04,20.09,20.22,19.93,20.12,11800,"CVCY","NASDAQ"
2019-10-07,20.13,20.62,20.02,20.55,10800,"CVCY","NASDAQ"
2019-10-08,20.41,20.41,20.02,20.02,27200,"CVCY","NASDAQ"
2019-10-09,20.1,20.42,19.93,20.35,27000,"CVCY","NASDAQ"
2019-10-10,20.39,20.4,20,20.19,17200,"CVCY","NASDAQ"
2019-10-11,20.54,20.61,20.41,20.53,23900,"CVCY","NASDAQ"
2019-10-14,20.35,20.54,20.08,20.44,8600,"CVCY","NASDAQ"
2019-10-15,20.5,20.87,20.5,20.81,25000,"CVCY","NASDAQ"
2019-10-16,20.77,21,20.39,21,25300,"CVCY","NASDAQ"
2019-10-17,21.39,21.39,19.33,20.32,24100,"CVCY","NASDAQ"
2019-10-18,20.13,20.31,19.81,20.11,30641,"CVCY","NASDAQ"
