"times","open","high","low","close","volume","symbol","market"
2019-05-30,46.64,47.1977,46.219,46.76,341200,"CVLT","NASDAQ"
2019-05-31,46.11,46.5,45.76,46.05,608200,"CVLT","NASDAQ"
2019-06-03,46.17,46.35,45.53,46,577300,"CVLT","NASDAQ"
2019-06-04,46.4,47.23,46.28,47.22,363700,"CVLT","NASDAQ"
2019-06-05,47.51,47.65,46.3295,47.06,282100,"CVLT","NASDAQ"
2019-06-06,46.93,47.56,46.6572,47.49,284900,"CVLT","NASDAQ"
2019-06-07,47.6403,47.91,47.31,47.38,221300,"CVLT","NASDAQ"
2019-06-10,47.74,48.605,47.64,47.83,330300,"CVLT","NASDAQ"
2019-06-11,48.36,48.57,47.52,47.69,283700,"CVLT","NASDAQ"
2019-06-12,47.58,48.085,47.58,47.84,308500,"CVLT","NASDAQ"
2019-06-13,47.85,48.32,47.72,48.12,537000,"CVLT","NASDAQ"
2019-06-14,48.08,48.18,47.66,47.68,269900,"CVLT","NASDAQ"
2019-06-17,47.67,48.4,47.67,48,257100,"CVLT","NASDAQ"
2019-06-18,48.46,49.17,48.38,48.47,337500,"CVLT","NASDAQ"
2019-06-19,48.65,48.66,48.01,48.6,287700,"CVLT","NASDAQ"
2019-06-20,49.23,49.5,48.54,48.55,373000,"CVLT","NASDAQ"
2019-06-21,48.29,48.8207,47.83,48.74,693700,"CVLT","NASDAQ"
2019-06-24,48.76,48.85,47.74,47.84,392900,"CVLT","NASDAQ"
2019-06-25,47.96,48.51,47.08,47.24,346100,"CVLT","NASDAQ"
2019-06-26,47.37,47.9,47.27,47.73,320600,"CVLT","NASDAQ"
2019-06-27,47.87,48.9,47.78,48.45,265000,"CVLT","NASDAQ"
2019-06-28,48.72,49.69,48.44,49.62,1103900,"CVLT","NASDAQ"
2019-07-01,50.25,50.63,49.5,49.82,270000,"CVLT","NASDAQ"
2019-07-02,49.8,49.98,49.52,49.93,264300,"CVLT","NASDAQ"
