"times","open","high","low","close","volume","symbol","market"
2019-05-30,13.11,13.58,13.11,13.42,43600,"CWCO","NASDAQ"
2019-05-31,13.43,13.59,13.327,13.55,39000,"CWCO","NASDAQ"
2019-06-03,13.6,13.93,13.56,13.86,30300,"CWCO","NASDAQ"
2019-06-04,13.85,13.99,13.71,13.96,45500,"CWCO","NASDAQ"
2019-06-05,13.93,13.99,13.67,13.95,18900,"CWCO","NASDAQ"
2019-06-06,13.94,14,13.35,13.51,70700,"CWCO","NASDAQ"
2019-06-07,13.5392,13.8,13.45,13.47,17800,"CWCO","NASDAQ"
2019-06-10,13.61,13.76,13.47,13.74,49900,"CWCO","NASDAQ"
2019-06-11,13.75,13.82,13.63,13.68,25400,"CWCO","NASDAQ"
2019-06-12,13.69,13.9,13.69,13.79,13400,"CWCO","NASDAQ"
2019-06-13,13.88,13.9,13.78,13.84,21700,"CWCO","NASDAQ"
2019-06-14,13.79,13.97,13.59,13.65,34200,"CWCO","NASDAQ"
2019-06-17,13.76,13.92,13.55,13.72,108700,"CWCO","NASDAQ"
2019-06-18,13.65,14.22,13.623,14.03,95300,"CWCO","NASDAQ"
2019-06-19,13.93,14.0729,13.82,14.02,12700,"CWCO","NASDAQ"
2019-06-20,14,14.215,13.95,14.13,21400,"CWCO","NASDAQ"
2019-06-21,14.04,14.18,13.99,14.01,111200,"CWCO","NASDAQ"
2019-06-24,14.1,14.18,13.97,14.09,47800,"CWCO","NASDAQ"
2019-06-25,14.16,14.422,14.095,14.28,34000,"CWCO","NASDAQ"
2019-06-26,14.33,14.3698,13.87,14.01,54000,"CWCO","NASDAQ"
2019-06-27,14.02,14.09,13.8651,13.99,46900,"CWCO","NASDAQ"
2019-06-28,13.81,14.37,13.81,14.26,123700,"CWCO","NASDAQ"
2019-07-01,14.3,14.35,14.1905,14.29,48700,"CWCO","NASDAQ"
2019-07-02,14.34,14.39,14.11,14.38,27200,"CWCO","NASDAQ"
2019-07-03,14.35,14.47,14.35,14.36,11000,"CWCO","NASDAQ"
2019-07-05,14.48,14.5499,14.24,14.53,42600,"CWCO","NASDAQ"
2019-07-08,14.48,14.51,14.28,14.44,22600,"CWCO","NASDAQ"
2019-07-09,14.48,14.48,14.11,14.14,11900,"CWCO","NASDAQ"
2019-07-10,14.15,14.46,14.07,14.24,41100,"CWCO","NASDAQ"
2019-07-11,14.35,14.39,13.7901,14.03,45400,"CWCO","NASDAQ"
2019-07-12,14.03,14.13,13.88,13.99,38100,"CWCO","NASDAQ"
2019-07-15,13.99,14.07,13.96,14.06,15200,"CWCO","NASDAQ"
2019-07-16,14.06,14.31,14.03,14.1,43000,"CWCO","NASDAQ"
2019-07-17,14.0311,14.26,13.73,14.08,30700,"CWCO","NASDAQ"
2019-07-18,14.09,14.22,13.99,14.15,17000,"CWCO","NASDAQ"
2019-07-19,14,14.38,14,14.34,84600,"CWCO","NASDAQ"
2019-07-22,14.32,14.64,14.26,14.43,73900,"CWCO","NASDAQ"
2019-07-23,14.47,14.47,14.03,14.14,47700,"CWCO","NASDAQ"
2019-07-24,14.27,14.45,13.9802,13.98,56600,"CWCO","NASDAQ"
2019-07-25,14.03,14.24,14,14.12,48500,"CWCO","NASDAQ"
2019-07-26,14.13,14.48,14.13,14.3,30400,"CWCO","NASDAQ"
2019-07-29,14.27,14.33,14.15,14.17,12500,"CWCO","NASDAQ"
2019-07-30,14.19,14.4,14.15,14.32,25900,"CWCO","NASDAQ"
2019-07-31,14.38,14.59,14.01,14.03,73100,"CWCO","NASDAQ"
2019-08-01,14.1,14.48,13.94,14.06,39800,"CWCO","NASDAQ"
2019-08-02,14.06,14.19,13.86,14.13,28600,"CWCO","NASDAQ"
2019-08-05,14.03,14.1,13.86,13.95,33200,"CWCO","NASDAQ"
2019-08-06,13.93,14.18,13.76,13.97,27200,"CWCO","NASDAQ"
2019-08-07,13.95,14.04,13.81,13.94,16800,"CWCO","NASDAQ"
2019-08-08,13.95,14.25,13.9304,14.03,35000,"CWCO","NASDAQ"
2019-08-09,14.08,14.25,14.03,14.12,29100,"CWCO","NASDAQ"
2019-08-12,14.22,14.45,14.06,14.17,42100,"CWCO","NASDAQ"
2019-08-13,14.29,14.78,14.29,14.46,42000,"CWCO","NASDAQ"
2019-08-14,14.41,14.655,13.93,14.31,75000,"CWCO","NASDAQ"
2019-08-15,14.34,14.97,14.29,14.96,42000,"CWCO","NASDAQ"
2019-08-16,14.98,15.129,14.81,14.95,29500,"CWCO","NASDAQ"
2019-08-19,15.03,15.04,14.81,14.86,27800,"CWCO","NASDAQ"
2019-08-20,14.86,14.99,14.66,14.88,19800,"CWCO","NASDAQ"
2019-08-21,14.7,14.7,14.37,14.43,52600,"CWCO","NASDAQ"
2019-08-22,14.52,15.15,14.47,15.03,70200,"CWCO","NASDAQ"
