"times","open","high","low","close","volume","symbol","market"
2019-05-30,38,38.41,37.69,38.33,157600,"CWST","NASDAQ"
2019-05-31,38.01,39.03,37.8707,38.72,136900,"CWST","NASDAQ"
2019-06-03,38.78,39.02,38.33,38.94,237800,"CWST","NASDAQ"
2019-06-04,39.08,39.53,38.935,39.26,160900,"CWST","NASDAQ"
2019-06-05,39.34,40.0094,39.34,39.64,235300,"CWST","NASDAQ"
2019-06-06,39.94,40,39.11,39.58,294800,"CWST","NASDAQ"
2019-06-07,39.79,40.08,39.415,39.43,106900,"CWST","NASDAQ"
2019-06-10,39.63,39.76,38.7,38.72,127500,"CWST","NASDAQ"
2019-06-11,39.09,39.23,38.22,38.71,207700,"CWST","NASDAQ"
2019-06-12,38.65,38.9492,38.28,38.61,141800,"CWST","NASDAQ"
2019-06-13,38.79,38.89,38.15,38.73,136200,"CWST","NASDAQ"
2019-06-14,38.55,39.49,38.55,39.34,169400,"CWST","NASDAQ"
2019-06-17,39.4,39.62,39.01,39.52,159000,"CWST","NASDAQ"
2019-06-18,39.7152,41.5,39.68,40.72,438100,"CWST","NASDAQ"
2019-06-19,40.71,41.09,39.885,40.88,310300,"CWST","NASDAQ"
2019-06-20,41.3,41.72,40.74,41.11,392900,"CWST","NASDAQ"
2019-06-21,40.92,41.18,40.028,40.37,189300,"CWST","NASDAQ"
2019-06-24,40.53,40.7,39.92,40.52,256100,"CWST","NASDAQ"
2019-06-25,40.63,41.04,39.68,39.78,381300,"CWST","NASDAQ"
2019-06-26,39.79,40.043,38.51,38.68,337900,"CWST","NASDAQ"
2019-06-27,38.71,39.159,38.64,39.09,143800,"CWST","NASDAQ"
2019-06-28,39.1,39.93,38.89,39.63,1675500,"CWST","NASDAQ"
2019-07-01,39.88,40.72,39.33,40.68,478200,"CWST","NASDAQ"
2019-07-02,40.39,41.29,40.39,41.18,160300,"CWST","NASDAQ"
2019-07-03,41.33,41.394,40.4121,41.05,83200,"CWST","NASDAQ"
2019-07-05,40.83,41.33,40.32,41.23,219400,"CWST","NASDAQ"
2019-07-08,41.1,41.46,40.1,40.46,236800,"CWST","NASDAQ"
2019-07-09,40.43,40.74,40.08,40.62,222500,"CWST","NASDAQ"
2019-07-10,40.79,41.24,40.54,40.55,124700,"CWST","NASDAQ"
2019-07-11,40.69,40.85,40.03,40.36,170400,"CWST","NASDAQ"
2019-07-12,40.37,41,40.14,40.85,149000,"CWST","NASDAQ"
2019-07-15,40.89,41.18,40.26,41.1,315300,"CWST","NASDAQ"
2019-07-16,41.05,42.12,41.01,42.01,194500,"CWST","NASDAQ"
2019-07-17,42.18,42.91,42.01,42.77,187400,"CWST","NASDAQ"
2019-07-18,42.56,43.04,42.22,42.8,423500,"CWST","NASDAQ"
2019-07-19,42.73,43.07,41.93,42.15,266800,"CWST","NASDAQ"
2019-07-22,42.2,42.24,41.34,42.08,420200,"CWST","NASDAQ"
2019-07-23,42.12,42.17,41.46,41.67,337500,"CWST","NASDAQ"
2019-07-24,41.68,42.38,41.22,42.05,287900,"CWST","NASDAQ"
2019-07-25,42,42.51,41.53,42.32,223700,"CWST","NASDAQ"
2019-07-26,42.51,43.87,42.48,43.42,370500,"CWST","NASDAQ"
2019-07-29,43.65,43.65,42.83,43.15,461800,"CWST","NASDAQ"
2019-07-30,43.05,43.83,42.82,43.8,179000,"CWST","NASDAQ"
2019-07-31,43.84,44.15,43.23,43.6,372900,"CWST","NASDAQ"
2019-08-01,43.56,44.19,42.72,42.86,318500,"CWST","NASDAQ"
2019-08-02,41.01,46.85,40.74,45.26,803100,"CWST","NASDAQ"
2019-08-05,45.28,45.5,43.95,44.48,627200,"CWST","NASDAQ"
2019-08-06,44.5,45.2,44.09,44.85,433200,"CWST","NASDAQ"
2019-08-07,44.46,46.61,44,46.17,381400,"CWST","NASDAQ"
2019-08-08,46.39,47.72,45.88,45.97,643300,"CWST","NASDAQ"
2019-08-09,46.23,46.44,45.1,45.7,302700,"CWST","NASDAQ"
2019-08-12,44.9,45.68,44.8,45.2,219700,"CWST","NASDAQ"
2019-08-13,44.98,45.88,44.98,45.75,287100,"CWST","NASDAQ"
2019-08-14,45.44,45.49,44.49,45.03,231700,"CWST","NASDAQ"
2019-08-15,44.95,45.94,44.6179,45.19,311100,"CWST","NASDAQ"
2019-08-16,45.37,46.12,45.08,45.55,224500,"CWST","NASDAQ"
2019-08-19,45.84,46.15,45.49,45.5,211700,"CWST","NASDAQ"
2019-08-20,45.07,45.18,44.26,44.34,213700,"CWST","NASDAQ"
2019-08-21,44.59,45.36,44.45,45.12,247500,"CWST","NASDAQ"
2019-08-22,45.29,46.16,45.2,45.81,297500,"CWST","NASDAQ"
2019-08-23,45.79,45.79,43.82,44.21,237300,"CWST","NASDAQ"
2019-08-26,44.65,45.16,44.39,45.12,182200,"CWST","NASDAQ"
2019-08-27,45.44,45.44,44.42,45.1,283500,"CWST","NASDAQ"
2019-08-28,45.11,46.56,44.77,46.36,367500,"CWST","NASDAQ"
2019-08-29,46.74,47.19,45.69,45.93,196400,"CWST","NASDAQ"
2019-08-30,46.07,46.31,45,45.5,339700,"CWST","NASDAQ"
2019-09-03,45.47,45.72,44.95,45.09,144800,"CWST","NASDAQ"
2019-09-04,45.46,45.68,45.05,45.49,207000,"CWST","NASDAQ"
2019-09-05,45.81,45.81,44.01,44.05,359500,"CWST","NASDAQ"
2019-09-06,44.41,44.43,43.42,43.47,244600,"CWST","NASDAQ"
2019-09-09,43.59,44.14,41.05,41.34,418700,"CWST","NASDAQ"
2019-09-10,41.22,41.22,38.86,39.08,591500,"CWST","NASDAQ"
2019-09-11,39.34,39.96,39.04,39.92,411600,"CWST","NASDAQ"
2019-09-12,40.16,41.28,39.81,41.18,537100,"CWST","NASDAQ"
2019-09-13,41.19,42.15,40.81,40.82,302300,"CWST","NASDAQ"
2019-09-16,40.69,41.44,40.56,41.34,229200,"CWST","NASDAQ"
2019-09-17,41.39,42.25,41.39,42.14,161200,"CWST","NASDAQ"
2019-09-18,42.34,42.71,40.85,41.9,355900,"CWST","NASDAQ"
2019-09-19,41.94,42.68,41.63,41.81,288500,"CWST","NASDAQ"
2019-09-20,41.8,44.99,41.71,44.92,1012900,"CWST","NASDAQ"
2019-09-23,45.04,45.9,44.6,45.07,374100,"CWST","NASDAQ"
2019-09-24,45.21,45.38,43.99,44.74,316000,"CWST","NASDAQ"
2019-09-25,44.66,45.35,43.95,44.1,713700,"CWST","NASDAQ"
2019-09-26,44.12,44.16,42.6,43.71,175800,"CWST","NASDAQ"
2019-09-27,43.86,44.01,42.79,43.21,227500,"CWST","NASDAQ"
2019-09-30,42.92,43.66,41.13,42.94,423700,"CWST","NASDAQ"
2019-10-01,43.09,44.11,42.84,43.42,251000,"CWST","NASDAQ"
2019-10-02,43.1,43.33,42.1,43.17,287700,"CWST","NASDAQ"
2019-10-03,43.07,44.25,42.81,44,268900,"CWST","NASDAQ"
2019-10-04,44,44.84,43.87,44.54,165300,"CWST","NASDAQ"
2019-10-07,44.4,44.58,43.81,44.43,129300,"CWST","NASDAQ"
2019-10-08,44.43,44.84,43.85,43.9,263500,"CWST","NASDAQ"
2019-10-09,44.09,44.23,43.39,43.51,187700,"CWST","NASDAQ"
2019-10-10,43.3,45.02,41.85,43.8,770500,"CWST","NASDAQ"
2019-10-11,43.84,44.11,42.96,43.03,350300,"CWST","NASDAQ"
2019-10-14,43.24,43.34,42.15,42.31,283700,"CWST","NASDAQ"
2019-10-15,42.29,42.66,41.37,42.36,310900,"CWST","NASDAQ"
2019-10-16,42.18,42.5,41.95,42.22,173900,"CWST","NASDAQ"
2019-10-17,42.15,43.05,42.02,43.01,190800,"CWST","NASDAQ"
2019-10-18,42.82,43.9776,42.78,43.88,184339,"CWST","NASDAQ"
