"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.13,2.185,2.13,2.17,1100,"CXDC","NASDAQ"
2019-05-31,2.136,2.14,2.09,2.14,4600,"CXDC","NASDAQ"
2019-06-03,2.14,2.22,2.12,2.21,10600,"CXDC","NASDAQ"
2019-06-04,2.17,2.17,2.12,2.13,7900,"CXDC","NASDAQ"
2019-06-05,2.13,2.13,2.12,2.12,1800,"CXDC","NASDAQ"
2019-06-06,2.12,2.131,2.12,2.12,3100,"CXDC","NASDAQ"
2019-06-07,2.13,2.217,2.13,2.21,9800,"CXDC","NASDAQ"
2019-06-10,2.14,2.23,2.13,2.21,1400,"CXDC","NASDAQ"
2019-06-11,2.24,2.25,2.2,2.2,9100,"CXDC","NASDAQ"
2019-06-12,2.18,2.18,2.09,2.108,16300,"CXDC","NASDAQ"
2019-06-13,2.118,2.128,2.07,2.09,25600,"CXDC","NASDAQ"
2019-06-14,2.1,2.14,2.0601,2.14,9800,"CXDC","NASDAQ"
2019-06-17,2.14,2.14,2.14,2.14,100,"CXDC","NASDAQ"
2019-06-18,2.177,2.177,2.05,2.06,20800,"CXDC","NASDAQ"
2019-06-19,2.1,2.11,2.1,2.11,7800,"CXDC","NASDAQ"
2019-06-20,2.129,2.17,2.129,2.14,12500,"CXDC","NASDAQ"
2019-06-21,2.12,2.16,2.12,2.16,2100,"CXDC","NASDAQ"
2019-06-24,2.2,2.23,2.16,2.17,23500,"CXDC","NASDAQ"
2019-06-25,2.19,2.25,2.19,2.25,6300,"CXDC","NASDAQ"
2019-06-26,2.2,2.25,2.11,2.185,17400,"CXDC","NASDAQ"
2019-06-27,2.121,2.244,2.11,2.244,8600,"CXDC","NASDAQ"
2019-06-28,2.1213,2.121,2.121,2.121,2500,"CXDC","NASDAQ"
2019-07-01,2.199,2.2,2.19,2.19,4400,"CXDC","NASDAQ"
2019-07-02,2.14,2.19,2.14,2.15,2700,"CXDC","NASDAQ"
2019-07-03,2.16,2.16,2.15,2.15,6000,"CXDC","NASDAQ"
2019-07-05,2.1299,2.25,2.13,2.23,4000,"CXDC","NASDAQ"
2019-07-08,2.17,2.17,2.05,2.11,27300,"CXDC","NASDAQ"
2019-07-09,2.21,2.21,2.1,2.18,2000,"CXDC","NASDAQ"
2019-07-10,2.12,2.19,2.11,2.19,9100,"CXDC","NASDAQ"
2019-07-11,2.14,2.15,2.09,2.15,4600,"CXDC","NASDAQ"
2019-07-12,2.1,2.1,2.06,2.1,5800,"CXDC","NASDAQ"
2019-07-15,2.07,2.13,2.07,2.07,3700,"CXDC","NASDAQ"
2019-07-16,2.07,2.12,2.07,2.11,21300,"CXDC","NASDAQ"
2019-07-17,2.1,2.13,2.1,2.11,1000,"CXDC","NASDAQ"
2019-07-18,2.1,2.11,2.08,2.1,5900,"CXDC","NASDAQ"
2019-07-19,2.11,2.2,2.09,2.2,21100,"CXDC","NASDAQ"
2019-07-22,2.2,2.2,1.75,2.01,48100,"CXDC","NASDAQ"
2019-07-23,1.99,2.05,1.99,2.03,2800,"CXDC","NASDAQ"
2019-07-24,2.03,2.03,2.03,2.03,0,"CXDC","NASDAQ"
2019-07-25,1.98,2.01,1.98,2.01,1400,"CXDC","NASDAQ"
2019-07-26,2.01,2.01,2.01,2.01,0,"CXDC","NASDAQ"
2019-07-29,2,2.02,2,2,1400,"CXDC","NASDAQ"
2019-07-30,2.04,2.04,2,2,2100,"CXDC","NASDAQ"
2019-07-31,1.95,2.02,1.95,2.02,6400,"CXDC","NASDAQ"
2019-08-01,2,2.02,1.87,2.02,21900,"CXDC","NASDAQ"
2019-08-02,1.9,2,1.9,2,4300,"CXDC","NASDAQ"
2019-08-05,2.01,2.01,1.93,1.95,21900,"CXDC","NASDAQ"
2019-08-06,1.99,2.04,1.96,2.04,3100,"CXDC","NASDAQ"
2019-08-07,1.98,2.04,1.98,2,2500,"CXDC","NASDAQ"
2019-08-08,1.99,2.23,1.99,2.16,60400,"CXDC","NASDAQ"
2019-08-09,2.02,2.15,1.98,2.15,18200,"CXDC","NASDAQ"
2019-08-12,2.115,2.14,1.99,1.99,7100,"CXDC","NASDAQ"
2019-08-13,2.02,2.03,1.93,2.028,44700,"CXDC","NASDAQ"
2019-08-14,2.15,2.22,2.08,2.2,67000,"CXDC","NASDAQ"
2019-08-15,2.2,2.23,2.1,2.23,41900,"CXDC","NASDAQ"
2019-08-16,2.22,2.2201,2.11,2.18,6900,"CXDC","NASDAQ"
2019-08-19,2.23,2.23,2.13,2.19,21000,"CXDC","NASDAQ"
2019-08-20,2.06,2.17,1.98,2.05,47400,"CXDC","NASDAQ"
2019-08-21,1.99,2.14,1.99,2.14,32100,"CXDC","NASDAQ"
2019-08-22,2.03,2.23,2.03,2.18,30800,"CXDC","NASDAQ"
2019-08-23,2.17,2.17,2.09,2.14,1900,"CXDC","NASDAQ"
2019-08-26,2.09,2.18,2.07,2.07,1500,"CXDC","NASDAQ"
2019-08-27,2.12,2.15,2.02,2.15,20600,"CXDC","NASDAQ"
2019-08-28,2.14,2.15,2.08,2.15,9100,"CXDC","NASDAQ"
2019-08-29,2.06,2.14,2.06,2.11,2400,"CXDC","NASDAQ"
2019-08-30,2.08,2.15,2.08,2.15,500,"CXDC","NASDAQ"
2019-09-03,2.1,2.1,2.06,2.06,2800,"CXDC","NASDAQ"
2019-09-04,2.1,2.11,2.1,2.11,700,"CXDC","NASDAQ"
2019-09-05,2.06,2.15,2.03,2.09,13600,"CXDC","NASDAQ"
2019-09-06,2.06,2.13,2.04,2.07,6300,"CXDC","NASDAQ"
2019-09-09,2.03,2.11,2.03,2.07,3000,"CXDC","NASDAQ"
2019-09-10,2.07,2.07,2.07,2.07,0,"CXDC","NASDAQ"
2019-09-11,2.06,2.09,2.04,2.07,17100,"CXDC","NASDAQ"
2019-09-12,2.05,2.05,2.03,2.03,13200,"CXDC","NASDAQ"
2019-09-13,2.02,2.07,2.01,2.07,23200,"CXDC","NASDAQ"
2019-09-16,2.01,2.09,2.01,2.07,6000,"CXDC","NASDAQ"
2019-09-17,2.15,2.15,2.01,2.07,17500,"CXDC","NASDAQ"
2019-09-18,2.05,2.07,2.02,2.07,8300,"CXDC","NASDAQ"
2019-09-19,2.08,2.08,2.02,2.03,10700,"CXDC","NASDAQ"
2019-09-20,2.05,2.05,2.01,2.01,7300,"CXDC","NASDAQ"
2019-09-23,2.04,2.04,1.96,2.04,18100,"CXDC","NASDAQ"
2019-09-24,1.96,2,1.93,2,47900,"CXDC","NASDAQ"
2019-09-25,1.98,1.99,1.95,1.97,17400,"CXDC","NASDAQ"
2019-09-26,1.97,2.01,1.94,1.96,8700,"CXDC","NASDAQ"
2019-09-27,1.95,2.03,1.93,1.93,51000,"CXDC","NASDAQ"
2019-09-30,1.89,1.96,1.86,1.9,45900,"CXDC","NASDAQ"
2019-10-01,1.91,1.97,1.9,1.94,28200,"CXDC","NASDAQ"
2019-10-02,2.04,2.04,1.86,1.88,13100,"CXDC","NASDAQ"
2019-10-03,2.01,2.05,1.95,1.96,46400,"CXDC","NASDAQ"
2019-10-04,2,2.29,2,2.29,245700,"CXDC","NASDAQ"
2019-10-07,2.29,2.3,2.06,2.19,68000,"CXDC","NASDAQ"
2019-10-08,2.12,2.29,2.12,2.15,36700,"CXDC","NASDAQ"
2019-10-09,2.15,2.24,2.13,2.2,19900,"CXDC","NASDAQ"
2019-10-10,2.29,2.29,2.15,2.2,9300,"CXDC","NASDAQ"
2019-10-11,2.19,2.31,2.19,2.27,32100,"CXDC","NASDAQ"
2019-10-14,2.27,2.31,2.17,2.2,34300,"CXDC","NASDAQ"
2019-10-15,2.13,2.23,2.13,2.18,8000,"CXDC","NASDAQ"
2019-10-16,2.11,2.2,2.11,2.2,12700,"CXDC","NASDAQ"
2019-10-17,2.2,2.2,2.13,2.19,8000,"CXDC","NASDAQ"
2019-10-18,2.1973,2.2,2.18,2.2,15629,"CXDC","NASDAQ"
