"times","open","high","low","close","volume","symbol","market"
2019-05-30,68.71,68.72,68.47,68.56,5500,"CXSE","NASDAQ"
2019-05-31,68.02,68.52,68.01,68.35,17700,"CXSE","NASDAQ"
2019-06-03,68.74,68.91,68.43,68.65,151300,"CXSE","NASDAQ"
2019-06-04,68.16,68.98,68.1,68.89,9600,"CXSE","NASDAQ"
2019-06-05,68.58,68.58,67.7,67.97,6100,"CXSE","NASDAQ"
2019-06-06,67.72,68.06,67.65,67.86,9800,"CXSE","NASDAQ"
2019-06-07,68.33,69.1987,68.33,68.79,21000,"CXSE","NASDAQ"
2019-06-10,69.86,70.46,69.77,70.15,6100,"CXSE","NASDAQ"
2019-06-11,71.42,71.74,71.15,71.42,15000,"CXSE","NASDAQ"
2019-06-12,70.19,70.19,69.83,70,3400,"CXSE","NASDAQ"
2019-06-13,70.55,70.69,70.14,70.43,11100,"CXSE","NASDAQ"
2019-06-14,69.65,69.65,69.3691,69.48,4100,"CXSE","NASDAQ"
2019-06-17,69.51,69.88,69.51,69.85,3700,"CXSE","NASDAQ"
2019-06-18,70.68,72.35,70.6809,72.03,10300,"CXSE","NASDAQ"
2019-06-19,72.42,72.75,72.1799,72.72,10400,"CXSE","NASDAQ"
2019-06-20,74.49,74.64,73.93,74.12,10700,"CXSE","NASDAQ"
2019-06-21,73.63,74.04,73.61,73.61,3000,"CXSE","NASDAQ"
2019-06-24,73.3,73.5672,73.3,73.56,17100,"CXSE","NASDAQ"
2019-06-25,72.8,72.8,72.07,72.13,9700,"CXSE","NASDAQ"
2019-06-26,73.22,73.52,73.19,73.3,24800,"CXSE","NASDAQ"
2019-06-27,73.93,74.14,73.9,74.09,2700,"CXSE","NASDAQ"
2019-06-28,74.23,74.23,73.79,74.03,10700,"CXSE","NASDAQ"
2019-07-01,76.62,76.83,75.7,75.85,25400,"CXSE","NASDAQ"
2019-07-02,76.16,76.17,75.88,76.05,9200,"CXSE","NASDAQ"
2019-07-03,75.72,75.72,75.35,75.54,6500,"CXSE","NASDAQ"
2019-07-05,74.88,74.96,74.29,74.51,15900,"CXSE","NASDAQ"
2019-07-08,73.6635,73.66,73.28,73.32,4600,"CXSE","NASDAQ"
2019-07-09,72.75,73.34,72.75,73.34,13900,"CXSE","NASDAQ"
2019-07-10,73.97,74.19,73.38,73.57,8500,"CXSE","NASDAQ"
2019-07-11,73.5,73.51,73.1081,73.17,9600,"CXSE","NASDAQ"
