"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.14,3.14,3.14,3.14,100,"CYAN","NASDAQ"
2019-05-31,3.16,3.17,3.05,3.05,900,"CYAN","NASDAQ"
2019-06-03,3.05,3.05,3.03,3.03,2300,"CYAN","NASDAQ"
2019-06-04,3.03,3.03,3.03,3.03,200,"CYAN","NASDAQ"
2019-06-05,3.0501,3.05,3.03,3.03,3200,"CYAN","NASDAQ"
2019-06-06,3.11,3.25,3.05,3.05,700,"CYAN","NASDAQ"
2019-06-07,3.25,3.25,3.1,3.1,600,"CYAN","NASDAQ"
2019-06-10,3.03,3.045,3.02,3.02,2600,"CYAN","NASDAQ"
2019-06-11,3.02,3.02,3.02,3.02,100,"CYAN","NASDAQ"
2019-06-12,3.01,3.01,3,3,3400,"CYAN","NASDAQ"
2019-06-13,3,3.13,3,3.125,900,"CYAN","NASDAQ"
2019-06-14,3.09,3.09,3.09,3.09,200,"CYAN","NASDAQ"
2019-06-17,3.05,3.05,3,3,1200,"CYAN","NASDAQ"
2019-06-18,3.04,3.05,3.02,3.025,1100,"CYAN","NASDAQ"
2019-06-19,3.02,3.12,3.02,3.12,1200,"CYAN","NASDAQ"
2019-06-20,3.12,3.12,3.12,3.12,300,"CYAN","NASDAQ"
2019-06-21,3.117,3.12,3.1,3.12,1700,"CYAN","NASDAQ"
2019-06-24,3.12,3.12,3.12,3.12,300,"CYAN","NASDAQ"
2019-06-25,3.01,3.33,3,3.33,1900,"CYAN","NASDAQ"
2019-06-26,3.14,3.14,3.13,3.13,600,"CYAN","NASDAQ"
2019-06-27,3.235,3.33,3.226,3.25,2400,"CYAN","NASDAQ"
2019-06-28,3.26,3.35,3.085,3.1,10400,"CYAN","NASDAQ"
2019-07-01,3,3.015,2.934,2.951,6100,"CYAN","NASDAQ"
2019-07-02,2.81,2.936,2.81,2.936,1200,"CYAN","NASDAQ"
2019-07-03,2.83,2.864,2.83,2.864,300,"CYAN","NASDAQ"
2019-07-05,2.86,2.86,2.86,2.86,100,"CYAN","NASDAQ"
2019-07-08,2.93,2.93,2.9299,2.93,200,"CYAN","NASDAQ"
2019-07-09,2.93,2.93,2.93,2.93,100,"CYAN","NASDAQ"
2019-07-10,2.93,2.93,2.76,2.78,6700,"CYAN","NASDAQ"
2019-07-11,2.8,2.8,2.8,2.8,400,"CYAN","NASDAQ"
2019-07-12,2.8,2.8,2.75,2.75,6100,"CYAN","NASDAQ"
2019-07-15,2.75,2.76,2.72,2.72,8200,"CYAN","NASDAQ"
2019-07-16,2.66,2.7,2.61,2.68,1900,"CYAN","NASDAQ"
2019-07-17,2.43,2.63,2.43,2.49,6900,"CYAN","NASDAQ"
2019-07-18,2.56,2.63,2.55,2.63,2400,"CYAN","NASDAQ"
2019-07-19,2.71,2.71,2.63,2.63,1200,"CYAN","NASDAQ"
2019-07-22,2.6,2.66,2.5998,2.66,1900,"CYAN","NASDAQ"
2019-07-23,2.58,2.58,2.5,2.51,10900,"CYAN","NASDAQ"
2019-07-24,2.63,2.63,2.63,2.63,600,"CYAN","NASDAQ"
2019-07-25,2.5,2.56,2.5,2.56,500,"CYAN","NASDAQ"
2019-07-26,2.61,2.62,2.5,2.51,7800,"CYAN","NASDAQ"
2019-07-29,2.57,2.57,2.5502,2.55,700,"CYAN","NASDAQ"
2019-07-30,2.57,2.57,2.55,2.55,700,"CYAN","NASDAQ"
2019-07-31,2.49,2.55,2.49,2.51,3200,"CYAN","NASDAQ"
2019-08-01,2.54,2.55,2.54,2.55,900,"CYAN","NASDAQ"
2019-08-02,2.49,2.49,2.43,2.43,900,"CYAN","NASDAQ"
2019-08-05,2.5,2.54,2.5,2.54,700,"CYAN","NASDAQ"
2019-08-06,2.52,2.55,2.52,2.55,700,"CYAN","NASDAQ"
2019-08-07,2.55,2.55,2.5401,2.54,300,"CYAN","NASDAQ"
2019-08-08,2.5,2.5,2.5,2.5,600,"CYAN","NASDAQ"
2019-08-09,2.505,2.55,2.5,2.5,4600,"CYAN","NASDAQ"
2019-08-12,2.57,2.57,2.42,2.46,2000,"CYAN","NASDAQ"
2019-08-13,2.5,2.6,2.5,2.5,2900,"CYAN","NASDAQ"
2019-08-14,2.55,2.56,2.5,2.5,900,"CYAN","NASDAQ"
2019-08-15,2.51,2.51,2.35,2.35,12000,"CYAN","NASDAQ"
2019-08-16,2.36,2.36,2.36,2.36,200,"CYAN","NASDAQ"
2019-08-19,2.68,2.75,2.5,2.51,2900,"CYAN","NASDAQ"
2019-08-20,2.51,2.51,2.5,2.5,1100,"CYAN","NASDAQ"
2019-08-21,2.5,2.74,2.5,2.74,400,"CYAN","NASDAQ"
2019-08-22,2.53,2.53,2.51,2.51,600,"CYAN","NASDAQ"
2019-08-23,2.43,2.51,2.43,2.51,600,"CYAN","NASDAQ"
2019-08-26,2.6,2.6,2.5,2.5,1700,"CYAN","NASDAQ"
2019-08-27,2.5,2.5,2.3,2.3,22200,"CYAN","NASDAQ"
2019-08-28,2.44,2.44,2.44,2.44,1400,"CYAN","NASDAQ"
2019-08-29,2.54,2.72,2.54,2.7,1100,"CYAN","NASDAQ"
2019-08-30,2.69,2.69,2.51,2.51,2900,"CYAN","NASDAQ"
2019-09-03,2.41,2.52,2.41,2.52,400,"CYAN","NASDAQ"
2019-09-04,2.71,2.71,2.71,2.71,100,"CYAN","NASDAQ"
2019-09-05,2.41,2.52,2.01,2.5,11100,"CYAN","NASDAQ"
2019-09-06,2.4,2.54,2.4,2.41,1200,"CYAN","NASDAQ"
2019-09-09,2.4,2.44,2.4,2.44,500,"CYAN","NASDAQ"
2019-09-10,2.44,2.44,2.44,2.44,0,"CYAN","NASDAQ"
2019-09-11,2.4,2.49,2.4,2.49,300,"CYAN","NASDAQ"
2019-09-12,2.49,2.49,2.48,2.48,800,"CYAN","NASDAQ"
2019-09-13,2.4,2.5,2.4,2.46,3800,"CYAN","NASDAQ"
2019-09-16,2.49,2.49,2.46,2.46,1000,"CYAN","NASDAQ"
2019-09-17,2.49,2.49,2.4,2.4,400,"CYAN","NASDAQ"
2019-09-18,2.5,2.5,2.42,2.42,1700,"CYAN","NASDAQ"
2019-09-19,2.42,2.42,2.4,2.42,9600,"CYAN","NASDAQ"
2019-09-20,2.5,2.5,2.39,2.39,2000,"CYAN","NASDAQ"
2019-09-23,2.39,2.39,2.39,2.39,100,"CYAN","NASDAQ"
2019-09-24,2.39,2.39,2.39,2.39,100,"CYAN","NASDAQ"
2019-09-25,2.31,2.31,2.31,2.31,300,"CYAN","NASDAQ"
2019-09-26,2.31,2.31,2.31,2.31,100,"CYAN","NASDAQ"
2019-09-27,2.31,2.31,2.31,2.31,300,"CYAN","NASDAQ"
2019-09-30,2.3,2.59,2.3,2.59,400,"CYAN","NASDAQ"
2019-10-01,2.36,2.51,2.36,2.48,1000,"CYAN","NASDAQ"
2019-10-02,2.4,2.4,2.4,2.4,700,"CYAN","NASDAQ"
2019-10-03,2.34,2.37,2.28,2.28,4700,"CYAN","NASDAQ"
2019-10-04,2.28,2.28,2.28,2.28,300,"CYAN","NASDAQ"
2019-10-07,2.3,2.3,2.3,2.3,500,"CYAN","NASDAQ"
2019-10-08,2.32,2.32,2.32,2.32,200,"CYAN","NASDAQ"
2019-10-09,2.31,2.38,2.3,2.38,2000,"CYAN","NASDAQ"
2019-10-10,2.38,2.38,2.38,2.38,200,"CYAN","NASDAQ"
2019-10-11,2.3,2.37,2.27,2.37,9400,"CYAN","NASDAQ"
2019-10-14,2.35,2.48,2.31,2.31,1400,"CYAN","NASDAQ"
2019-10-15,2.3,2.37,2.3,2.37,500,"CYAN","NASDAQ"
2019-10-16,2.6,2.6,2.51,2.51,600,"CYAN","NASDAQ"
2019-10-17,2.51,2.51,2.51,2.51,0,"CYAN","NASDAQ"
2019-10-18,2.36,2.36,2.36,2.36,141,"CYAN","NASDAQ"
