"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.74,18.85,18.01,18.34,198900,"CYOU","NASDAQ"
2019-05-31,18.55,18.55,17.69,18.36,341200,"CYOU","NASDAQ"
2019-06-03,8.91,9.411,8.8607,8.96,664500,"CYOU","NASDAQ"
2019-06-04,8.96,9.455,8.95,9.22,653500,"CYOU","NASDAQ"
2019-06-05,9.19,9.81,9.14,9.78,729800,"CYOU","NASDAQ"
2019-06-06,9.8,10.229,9.6,9.88,457000,"CYOU","NASDAQ"
2019-06-07,9.88,10.45,9.87,10.44,260000,"CYOU","NASDAQ"
2019-06-10,10.5,10.7703,10.35,10.41,282700,"CYOU","NASDAQ"
2019-06-11,10.59,10.8,10.27,10.6,189900,"CYOU","NASDAQ"
2019-06-12,10.53,10.94,10.395,10.78,287600,"CYOU","NASDAQ"
2019-06-13,10.7898,10.83,10.59,10.61,99600,"CYOU","NASDAQ"
2019-06-14,10.61,10.716,10.17,10.31,445700,"CYOU","NASDAQ"
2019-06-17,10.2,10.84,10.2,10.41,205200,"CYOU","NASDAQ"
2019-06-18,10.45,10.75,10.2,10.69,195800,"CYOU","NASDAQ"
2019-06-19,10.75,10.87,10.56,10.65,149500,"CYOU","NASDAQ"
2019-06-20,10.79,10.82,10.42,10.46,166000,"CYOU","NASDAQ"
2019-06-21,10.53,10.59,10.24,10.45,458000,"CYOU","NASDAQ"
2019-06-24,10.38,10.76,10.35,10.49,204800,"CYOU","NASDAQ"
2019-06-25,10.42,10.42,9.62,9.65,265100,"CYOU","NASDAQ"
2019-06-26,9.66,9.84,9.57,9.64,223800,"CYOU","NASDAQ"
2019-06-27,9.76,9.8,9.62,9.72,185000,"CYOU","NASDAQ"
2019-06-28,9.75,9.78,9.52,9.61,213300,"CYOU","NASDAQ"
2019-07-01,9.82,9.865,9.41,9.45,173400,"CYOU","NASDAQ"
2019-07-02,9.47,9.56,9.3,9.47,178200,"CYOU","NASDAQ"
2019-07-03,9.51,9.52,9.25,9.38,71000,"CYOU","NASDAQ"
2019-07-05,9.35,9.41,9.2,9.28,76900,"CYOU","NASDAQ"
2019-07-08,9.22,9.25,9.11,9.21,128500,"CYOU","NASDAQ"
