"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.819,1.94,1.81,1.94,1800,"CYRN","NASDAQ"
2019-05-31,1.85,1.91,1.85,1.91,7900,"CYRN","NASDAQ"
2019-06-03,1.88,1.88,1.81,1.81,1100,"CYRN","NASDAQ"
2019-06-04,1.81,1.81,1.7,1.74,11800,"CYRN","NASDAQ"
2019-06-05,1.75,1.78,1.72,1.72,3000,"CYRN","NASDAQ"
2019-06-06,1.7,1.731,1.66,1.67,18800,"CYRN","NASDAQ"
2019-06-07,1.72,1.76,1.66,1.68,10500,"CYRN","NASDAQ"
2019-06-10,1.67,1.69,1.65,1.67,18800,"CYRN","NASDAQ"
2019-06-11,1.68,1.72,1.65,1.65,17100,"CYRN","NASDAQ"
2019-06-12,1.65,1.772,1.65,1.68,3400,"CYRN","NASDAQ"
2019-06-13,1.72,1.78,1.72,1.74,18200,"CYRN","NASDAQ"
2019-06-14,1.77,1.78,1.761,1.78,6400,"CYRN","NASDAQ"
2019-06-17,1.74,1.74,1.6499,1.65,23400,"CYRN","NASDAQ"
2019-06-18,1.65,1.65,1.61,1.63,34000,"CYRN","NASDAQ"
2019-06-19,1.62,1.67,1.56,1.67,47900,"CYRN","NASDAQ"
2019-06-20,1.6609,1.707,1.62,1.62,12700,"CYRN","NASDAQ"
2019-06-21,1.62,1.732,1.57,1.57,2900,"CYRN","NASDAQ"
2019-06-24,1.5999,1.65,1.58,1.65,9500,"CYRN","NASDAQ"
2019-06-25,1.63,1.63,1.54,1.62,7600,"CYRN","NASDAQ"
2019-06-26,1.76,1.7599,1.53,1.6,19300,"CYRN","NASDAQ"
2019-06-27,1.6,1.749,1.52,1.66,29200,"CYRN","NASDAQ"
2019-06-28,1.68,1.78,1.68,1.73,22800,"CYRN","NASDAQ"
2019-07-01,1.74,1.7899,1.74,1.79,9500,"CYRN","NASDAQ"
2019-07-02,1.735,1.78,1.68,1.762,2600,"CYRN","NASDAQ"
2019-07-03,1.66,1.741,1.66,1.741,9600,"CYRN","NASDAQ"
2019-07-05,1.69,1.74,1.69,1.74,3300,"CYRN","NASDAQ"
2019-07-08,1.76,1.78,1.65,1.68,24800,"CYRN","NASDAQ"
2019-07-09,1.62,1.69,1.6,1.69,23900,"CYRN","NASDAQ"
2019-07-10,1.65,1.7,1.62,1.7,2900,"CYRN","NASDAQ"
2019-07-11,1.65,1.69,1.62,1.62,14000,"CYRN","NASDAQ"
