"times","open","high","low","close","volume","symbol","market"
2019-05-30,17,17.75,17,17.74,231700,"CYRX","NASDAQ"
2019-05-31,17.52,17.74,16.42,16.72,191100,"CYRX","NASDAQ"
2019-06-03,16.71,17.06,16.16,16.95,268200,"CYRX","NASDAQ"
2019-06-04,17.15,18.045,17.11,17.73,202700,"CYRX","NASDAQ"
2019-06-05,17.84,17.99,17.284,17.9,157900,"CYRX","NASDAQ"
2019-06-06,17.91,18.13,17.36,17.67,96400,"CYRX","NASDAQ"
2019-06-07,17.72,18.02,17.53,17.57,97900,"CYRX","NASDAQ"
2019-06-10,17.63,18.62,17.56,18.47,268100,"CYRX","NASDAQ"
2019-06-11,18.46,18.555,17.66,17.92,132500,"CYRX","NASDAQ"
2019-06-12,17.8,18.05,17.39,17.93,160400,"CYRX","NASDAQ"
2019-06-13,18.01,18.23,17.8,17.87,141500,"CYRX","NASDAQ"
2019-06-14,17.86,18.33,17.81,18.15,228300,"CYRX","NASDAQ"
2019-06-17,18.23,18.859,18.15,18.55,242800,"CYRX","NASDAQ"
2019-06-18,18.52,19.2,18.52,18.7,223000,"CYRX","NASDAQ"
2019-06-19,18.71,18.84,18.55,18.62,167300,"CYRX","NASDAQ"
2019-06-20,17.8411,18.4,17.64,17.73,1933800,"CYRX","NASDAQ"
2019-06-21,17.6297,17.98,17.385,17.82,903400,"CYRX","NASDAQ"
2019-06-24,17.91,18.9,17.78,18.13,423100,"CYRX","NASDAQ"
2019-06-25,18.1308,18.26,16.79,17.01,580600,"CYRX","NASDAQ"
2019-06-26,17.04,17.41,16.75,17.27,211000,"CYRX","NASDAQ"
2019-06-27,17.3,18.3,17.26,17.95,265400,"CYRX","NASDAQ"
2019-06-28,18.01,18.52,18.01,18.32,457100,"CYRX","NASDAQ"
2019-07-01,18.6,18.77,18.261,18.67,273100,"CYRX","NASDAQ"
2019-07-02,18.63,19.22,18.38,19.12,368400,"CYRX","NASDAQ"
2019-07-03,19.14,19.45,19.03,19.2,270700,"CYRX","NASDAQ"
2019-07-05,19.0695,19.38,18.87,19.29,198800,"CYRX","NASDAQ"
2019-07-08,19.25,19.7,18.78,19.31,315100,"CYRX","NASDAQ"
2019-07-09,19.19,19.49,18.97,19.39,191500,"CYRX","NASDAQ"
2019-07-10,19.4,19.75,19.2588,19.54,240300,"CYRX","NASDAQ"
2019-07-11,19.62,20.2,19.5097,19.59,401100,"CYRX","NASDAQ"
2019-07-12,19.6,19.85,19.47,19.71,226500,"CYRX","NASDAQ"
2019-07-15,19.85,20.79,19.64,19.91,588800,"CYRX","NASDAQ"
2019-07-16,19.97,20.06,19.71,19.82,459900,"CYRX","NASDAQ"
2019-07-17,19.82,19.86,19.24,19.65,159900,"CYRX","NASDAQ"
2019-07-18,19.56,19.66,19.15,19.38,301500,"CYRX","NASDAQ"
