"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.13,9.23,8.97,9.06,9809300,"CZR","NASDAQ"
2019-05-31,8.95,9.045,8.7599,8.79,16323600,"CZR","NASDAQ"
2019-06-03,8.76,8.81,8.52,8.61,20083200,"CZR","NASDAQ"
2019-06-04,8.75,9.01,8.68,9,11854400,"CZR","NASDAQ"
2019-06-05,9.0199,9.055,8.78,9.02,8843900,"CZR","NASDAQ"
2019-06-06,9.03,9.25,8.91,9.13,15310000,"CZR","NASDAQ"
2019-06-07,9.66,9.72,9.43,9.48,36089300,"CZR","NASDAQ"
2019-06-10,9.52,9.79,9.52,9.78,21388400,"CZR","NASDAQ"
2019-06-11,9.8,9.86,9.66,9.7,9665900,"CZR","NASDAQ"
2019-06-12,9.66,9.85,9.59,9.8,11379000,"CZR","NASDAQ"
2019-06-13,9.86,9.905,9.76,9.81,14608000,"CZR","NASDAQ"
2019-06-14,9.81,9.87,9.7195,9.82,6574600,"CZR","NASDAQ"
2019-06-17,9.9,9.91,9.755,9.85,8311700,"CZR","NASDAQ"
2019-06-18,9.89,10.07,9.8096,9.95,21767000,"CZR","NASDAQ"
2019-06-19,9.92,10.1,9.88,10.07,14053400,"CZR","NASDAQ"
2019-06-20,10.1,10.17,9.98,10.05,7870500,"CZR","NASDAQ"
2019-06-21,9.99,10.12,9.95,9.99,14303800,"CZR","NASDAQ"
2019-06-24,11.52,11.73,11.25,11.44,216554000,"CZR","NASDAQ"
2019-06-25,11.56,11.74,11.4692,11.56,99505800,"CZR","NASDAQ"
2019-06-26,11.6,11.73,11.5802,11.62,45711300,"CZR","NASDAQ"
2019-06-27,11.6908,11.7,11.605,11.66,67512300,"CZR","NASDAQ"
2019-06-28,11.64,11.87,11.575,11.82,58767300,"CZR","NASDAQ"
2019-07-01,11.8915,12.01,11.82,11.99,33222900,"CZR","NASDAQ"
2019-07-02,11.96,12.09,11.95,12.09,18745000,"CZR","NASDAQ"
2019-07-03,12.11,12.16,12.05,12.14,13284000,"CZR","NASDAQ"
2019-07-05,12.06,12.23,12.05,12.18,13786300,"CZR","NASDAQ"
2019-07-08,12.11,12.21,12.06,12.11,20877000,"CZR","NASDAQ"
2019-07-09,12.03,12.13,11.99,12.09,32617800,"CZR","NASDAQ"
2019-07-10,12.15,12.15,11.95,11.98,33494800,"CZR","NASDAQ"
2019-07-11,11.97,12,11.83,11.85,13459400,"CZR","NASDAQ"
